area_name_en,pre_encode_columns,trans_group_en,rooms_en,reg_type_en,floor_bin,Grade,project_grade,Developer_grade,Developer Reputation Tier,Locality Zone,Price Tier,Developer Tier,Reputation,has_parking,swimming_pool,balcony,elevators,metro,procedure_area,Score,year,month,procedure_area_min,procedure_area_max
Al Barsha South Fourth,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor', 'Unknown']","['B', 'B+', 'C', 'D']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳']","['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[0, 1]","[25.5, 26.86, 27.11, 27.25, 27.42, 28.03, 28.04, 28.05, 28.06, 28.07]","[2.75, 3.35, 3.5, 3.65, 3.85, 4.15, 4.45, 4.75, 4.95, 5.25]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.5,577.06
Business Bay,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', '71-80', '81-90', 'Below 1st Floor']","['A', 'A+', 'B', 'B+']","['A', 'B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Prime Central 🏙'],"['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[0, 1]","[27.53, 29.31, 29.71, 29.85, 30.09, 30.12, 30.76, 30.83, 30.89, 31.03]","[4.85, 5.95, 7.05, 7.35, 7.8, 8.15, 8.45, 8.9, 9.25, 9.55]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",27.53,1380.64
Marsa Dubai,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', 'PENTHOUSE', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '101-110', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', '71-80', '81-90']","['A', 'A+', 'B', 'B+', 'C', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'F', 'Unknown']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Prime Waterfront 🌊', 'Suburban 🌳', 'Unknown']","['Affordable ○', 'Insufficient Data', 'Luxury ★', 'Mid-Range ●', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[0, 1]","[28.29, 30.33, 30.47, 31.31, 31.59, 31.6, 31.68, 32.23, 32.32, 32.37]","[0.0, 3.35, 4.85, 4.95, 5.95, 6.05, 7.05, 7.15, 7.8, 8.15]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28.29,1402.54
Al Merkadh,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st Floor']","['A', 'B', 'B+']","['A', 'B', 'B+', 'C+']","['A', 'B', 'B+', 'C']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record']","['Prime Central 🏙', 'Urban Core 🏢']","['Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier']","['Average —', 'Established ✔']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 12.0, 21.0]","[0, 1]","[26.52, 26.53, 26.65, 26.69, 26.72, 26.74, 26.87, 26.88, 26.9, 26.92]","[5.95, 6.15, 6.9, 7.05, 7.25, 7.8, 8.0, 8.15, 8.9]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",26.52,552.94
Wadi Al Safa 5,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', 'Below 1st Floor', 'Unknown']","['B', 'C']","['B', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Suburban 🌳', 'Unknown']","['Affordable ○', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 11.0]",[0],"[25.36, 26.66, 26.71, 27.09, 27.23, 27.24, 27.35, 27.38, 27.72, 27.88]","[3.35, 3.65, 3.85, 4.45, 4.95, 5.55, 5.79]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.36,418.43
Burj Khalifa,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R', '7 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', '71-80', 'Below 1st Floor', 'Unknown']","['A', 'A+', 'B+']","['A', 'B', 'B+', 'C+', 'Unknown']","['A', 'A+', 'B', 'B+', 'Unknown']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Prime Central 🏙'],"['Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Unknown']","['Average —', 'Established ✔', 'Good ✓']","[0, 1]","[0, 1]","[0, 1]","[0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[0, 1]","[25.42, 26.1, 28.11, 32.37, 32.81, 32.85, 32.88, 33.24, 33.25, 33.26]","[7.05, 8.15, 8.9, 9.25, 9.55, 10.0]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.42,1949.03
Al Khairan First,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', '6 B/R']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st Floor']","['A', 'B+']","['A', 'B', 'B+']","['A', 'Unknown']","['Tier 1 - Market Leader', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record']",['Prime Waterfront 🌊'],"['Luxury ★', 'Premium ▲']","['Tier 1 – Elite', 'Unknown']","['Average —', 'Established ✔']",[1],"[0, 1]","[0, 1]","[0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 11.0]","[0, 1]","[55.51, 56.92, 57.1, 57.11, 57.32, 57.55, 58.33, 59.34, 59.36, 59.63]","[7.05, 8.15, 8.9]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",55.51,761.39
Hadaeq Sheikh Mohammed Bin Rashid,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '21-30', 'Below 1st Floor', 'Unknown']","['A', 'B', 'B+']","['A', 'B', 'B+', 'C+', 'Unknown']","['A', 'B', 'B+', 'C+', 'D', 'Unknown']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Prime Central 🏙', 'Suburban 🌳', 'Urban Core 🏢']","['Luxury ★', 'Premium ▲', 'Ultra-Luxury ◆']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Unknown']","['Average —', 'Established ✔']",[1],"[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]","[0, 1]","[33.55, 35.02, 35.03, 35.04, 35.74, 35.77, 35.78, 36.0, 36.07, 36.15]","[5.55, 6.15, 6.65, 7.05, 7.25, 7.4, 7.75, 8.0, 8.15, 8.9]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",33.55,515.08
Jabal Ali First,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', '5 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', '51-60', 'Below 1st Floor']","['B', 'B+', 'C', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'A+', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']","['Outer/Remote 🏜', 'Unknown']","['Affordable ○', 'Insufficient Data', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']","['Average —', 'Established ✔']","[0, 1]","[0, 1]","[0, 1]","[2.0, 3.0, 4.0, 5.0, 6.0, 8.0]","[0, 1]","[25.5, 27.0, 29.36, 29.39, 30.3, 30.53, 30.54, 30.55, 30.56, 30.57]","[0.0, 2.75, 3.85, 4.95, 5.7, 6.05]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.5,752.48
Madinat Al Mataar,"['trans_group_en', 'rooms_en', 'reg_type_en', 'floor_bin', 'Grade', 'project_grade', 'Developer_grade', 'Developer Reputation Tier', 'Locality Zone', 'Price Tier', 'Developer Tier', 'Reputation', 'has_parking', 'swimming_pool', 'balcony', 'elevators', 'metro', 'procedure_area', 'Score', 'year', 'month']",['Sales'],"['1 B/R', '2 B/R', '3 B/R', '4 B/R', 'Studio']","['Existing Properties', 'Off-Plan Properties']","['1-10', '11-20', 'Below 1st Floor']","['B', 'B+', 'C', 'D']","['B', 'B+', 'C', 'C+', 'D', 'Unknown']","['A', 'B', 'B+', 'C', 'C+', 'D', 'F', 'Unknown']","['Tier 1 - Market Leader', 'Tier 2 - Established Premium', 'Tier 3 - Established Mid-Tier', 'Tier 4 - Boutique / Limited Track Record', 'Undisclosed', 'Unknown']",['Outer/Remote 🏜'],"['Affordable ○', 'Luxury ★', 'Mid-Range ●', 'Premium ▲']","['Tier 1 – Elite', 'Tier 2 – Established', 'Tier 3 – Mid-Tier', 'Tier 4 – Emerging', 'Tier 5 – Micro/Niche', 'Unknown']",['Average —'],"[0, 1]","[0, 1]","[0, 1]","[0.0, 2.0, 3.0, 4.0, 5.0, 6.0]","[0, 1]","[25.7, 26.8, 27.32, 27.38, 28.58, 28.83, 29.52, 30.1, 30.16, 30.27]","[2.75, 3.85, 4.95, 6.05]","[2020, 2021, 2022, 2023, 2024, 2025, 2026]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25.7,405.43
