LOCAL FILE,GITHUB DESTINATION,ACTION,REASON,MODE,LOCAL GIT BLOB,GITHUB MAIN BLOB,BYTES
.DS_Store,—,EXCLUDE,Local/test/runtime/history/audit or non-production file outside the exact source allowlist.,LOCAL_ONLY,d807a7f6aefdca5394bb18617a433f098821f9ae,,10244
.devcontainer/devcontainer.json,.devcontainer/devcontainer.json,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,0cc57cf104c0a2c33866773f3fc77bf6f3f54b6f,0cc57cf104c0a2c33866773f3fc77bf6f3f54b6f,1034
.github/workflows/production-intelligence.yml,.github/workflows/production-intelligence.yml,ADD,"Daily/manual real-RSS publisher, pinned actions, one concurrency group, explicit operator activation.",SOURCE,661098ffdf9f15b15468bab94b62d4cc656069aa,,1212
.gitignore,.gitignore,MODIFY,"Apply the reviewed dependency, documentation or exclusion change.",SOURCE,031123145706a30706b14df70a63ba1654541469,05f1d74dec1396bccd63fe778b42cfef361552ae,885
.streamlit/config.toml,.streamlit/config.toml,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,0bd9d35f6ea2493df98e8fefe300f4e52bb60efe,0bd9d35f6ea2493df98e8fefe300f4e52bb60efe,2177
APPLY.md,APPLY.md,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,14db70eea12d7c451a03fa67140a368384a6ea2a,14db70eea12d7c451a03fa67140a368384a6ea2a,6346
DEPLOY.md,DEPLOY.md,MODIFY,"Apply the reviewed dependency, documentation or exclusion change.",SOURCE,da4a3072afe1decaa69431416795eba5c13f3166,437c435605e26cd5092eb7993febaaefff82a203,1623
README.md,README.md,MODIFY,"Apply the reviewed dependency, documentation or exclusion change.",SOURCE,f5ee791d31498c67d92619734cc25d88f4a396ee,09d6fc3e9f3ab2abfa79b61c251c680917bee2f9,4479
build_deploy.sh,build_deploy.sh,MODIFY,"Apply the reviewed dependency, documentation or exclusion change.",SOURCE,bc8fd101ef7dcb51f0c42b8a3f02fdd8fd89e255,827c49b5fb19fd4339169a91abc5d7a69feb3ab5,3137
data/dubai/input_ranges.csv,data/dubai/input_ranges.csv,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,abe191c4601a5f51a449bbfd2d36db6c0c5dc519,abe191c4601a5f51a449bbfd2d36db6c0c5dc519,43422
data/dubai/latest_combined_data.parquet,data/dubai/latest_combined_data.parquet,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,a6c32139e966032b8e522537e8c549b8df3963d2,a6c32139e966032b8e522537e8c549b8df3963d2,53784307
data/dubai/provenance.json,data/dubai/provenance.json,EXCLUDE,Retain current GitHub main file unchanged; do not upload a local replacement.,RETAIN_MAIN,d271b2ab834effea22e846a995747c440f47ba55,d271b2ab834effea22e846a995747c440f47ba55,2195
