area_name_en,forecast_quarter,forecast_price,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper,avg_actual,sample_count,avg_predicted
Al Barsha South Fifth,2024-09-30,12564.724501453647,8575.188069536815,16554.260933370482,0.9321626566004598,0.6361834746812968,1.228141838519623,15135.73,1457,14986.95
Al Barsha South Fifth,2024-12-31,12102.708838284849,7632.822892560072,16572.59478400962,0.8978862386877052,0.566270471275868,1.2295020060995423,15135.73,1457,14986.95
Al Barsha South Fifth,2025-03-31,11869.26452635562,7284.802469604838,16453.726583106403,0.8805672700186319,0.5404512309116535,1.2206833091256102,15135.73,1457,14986.95
Al Barsha South Fifth,2025-06-30,11751.311281224624,7138.053746678032,16364.568815771214,0.8718164525754611,0.5295641096380952,1.2140687955128269,15135.73,1457,14986.95
Al Barsha South Fourth,2024-09-30,13613.330744335031,12785.888337489712,14440.77315118035,1.0325474699259194,0.9697874018909104,1.0953075379609285,13469.06,6686,12969.19
Al Barsha South Fourth,2024-12-31,13961.383995414106,12965.602369752352,14957.16562107586,1.058946703923135,0.9834183988018018,1.1344750090444682,13469.06,6686,12969.19
Al Barsha South Fourth,2025-03-31,14336.224432681503,13150.143814534642,15522.305050828363,1.0873776994227071,0.9974155465597612,1.1773398522856533,13469.06,6686,12969.19
Al Barsha South Fourth,2025-06-30,14702.212709055108,13366.397477678183,16038.02794043203,1.1151372739081336,1.0138180109481325,1.2164565368681346,13469.06,6686,12969.19
Al Barshaa South Third,2024-09-30,13430.09043859649,11424.28468077054,15435.89619642244,1.0,0.8506483804411694,1.1493516195588305,13687.06,1487,13188.02
Al Barshaa South Third,2024-12-31,13430.09043859649,10593.452732392989,16266.728144799992,1.0,0.788784914057515,1.2112150859424848,13687.06,1487,13188.02
Al Barshaa South Third,2025-03-31,13430.09043859649,9955.932955927748,16904.247921265232,1.0,0.7413154067314077,1.2586845932685922,13687.06,1487,13188.02
Al Barshaa South Third,2025-06-30,13430.09043859649,9418.478922944589,17441.70195424839,1.0,0.7012967608823389,1.2987032391176612,13687.06,1487,13188.02
Al Hebiah Fourth,2024-09-30,11766.22222564353,9504.19068796378,14028.253763323282,0.9569667029515172,0.7729918619980651,1.1409415439049695,10335.01,1036,9947.07
Al Hebiah Fourth,2024-12-31,11505.732427341944,7208.730108420086,15802.734746263804,0.9357806282154914,0.5862981806758119,1.2852630757551708,10335.01,1036,9947.07
Al Hebiah Fourth,2025-03-31,11251.009555222608,5662.877403652075,16839.14170679314,0.9150635873145364,0.4605713723799045,1.369555802249168,10335.01,1036,9947.07
Al Hebiah Fourth,2025-06-30,11001.925936578917,4411.679029445384,17592.172843712448,0.8948051964120433,0.358809297863469,1.4308010949606178,10335.01,1036,9947.07
Al Khairan First,2024-09-30,23682.106301141022,22438.102639875426,24926.10996240662,1.023413597046487,0.9696544319821244,1.0771727621108498,25625.22,1354,25031.47
Al Khairan First,2024-12-31,23929.25326341109,22596.498997738032,25262.00752908416,1.0340939629919663,0.9764994728876042,1.0916884530963284,25625.22,1354,25031.47
Al Khairan First,2025-03-31,24422.74157448108,23085.358175479854,25760.124973482307,1.0554198805902757,0.9976253441754064,1.1132144170051448,25625.22,1354,25031.47
Al Khairan First,2025-06-30,25291.38339419582,23864.12775595099,26718.63903244065,1.0929579204062876,1.0312795879105567,1.1546362529020184,25625.22,1354,25031.47
Al Merkadh,2024-09-30,19020.482132752997,17280.303182606698,20760.66108289929,1.0,0.9085102607809434,1.0914897392190566,21124.87,2209,19419.6
Al Merkadh,2024-12-31,19020.482132752997,16559.497460499926,21481.46680500606,1.0,0.8706139699784324,1.1293860300215677,21124.87,2209,19419.6
Al Merkadh,2025-03-31,19020.482132752997,16006.403776837738,22034.56048866825,1.0,0.841535123301367,1.158464876698633,21124.87,2209,19419.6
Al Merkadh,2025-06-30,19020.482132752997,15540.1242324604,22500.840033045588,1.0,0.8170205215618868,1.1829794784381131,21124.87,2209,19419.6
Al Thanyah Fifth,2024-09-30,15553.805135135137,12381.207764404431,18726.40250586584,1.0,0.7960243591091424,1.2039756408908575,19327.67,1952,18876.0
Al Thanyah Fifth,2024-12-31,15553.805135135137,11067.074905498554,20040.53536477172,1.0,0.711534882258405,1.288465117741595,19327.67,1952,18876.0
Al Thanyah Fifth,2025-03-31,15553.805135135137,10058.705297070126,21048.904973200144,1.0,0.6467038264706108,1.3532961735293894,19327.67,1952,18876.0
Al Thanyah Fifth,2025-06-30,15553.805135135137,9208.61039367373,21898.99987659654,1.0,0.5920487182182846,1.4079512817817152,19327.67,1952,18876.0
Al Yelayiss 2,2024-09-30,11920.41341740227,10052.69874774232,13788.128087062218,1.0,0.8433179618641979,1.156682038135802,12317.27,840,12169.37
Al Yelayiss 2,2024-12-31,11920.41341740227,9279.066000925986,14561.760833878552,1.0,0.7784181366880903,1.2215818633119095,12317.27,840,12169.37
Al Yelayiss 2,2025-03-31,11920.41341740227,8685.436715509517,15155.390119295022,1.0,0.7286187493153465,1.2713812506846536,12317.27,840,12169.37
Al Yelayiss 2,2025-06-30,11920.41341740227,8184.984078082374,15655.842756722164,1.0,0.6866359237283961,1.313364076271604,12317.27,840,12169.37
Burj Khalifa,2024-09-30,21240.12989327641,18250.040083606003,24230.219702946823,1.0,0.8592245045254207,1.1407754954745792,22315.05,1526,21442.3
Burj Khalifa,2024-12-31,21240.12989327641,17011.504331726934,25468.755454825896,1.0,0.8009133850500577,1.1990866149499424,22315.05,1526,21442.3
Burj Khalifa,2025-03-31,21240.12989327641,16061.14242373331,26419.11736281952,1.0,0.7561696893773461,1.2438303106226538,22315.05,1526,21442.3
Burj Khalifa,2025-06-30,21240.12989327641,15259.950273935596,27220.309512617237,1.0,0.7184490090508415,1.2815509909491585,22315.05,1526,21442.3
Business Bay,2024-09-30,24016.507804714605,21353.077846923028,26679.937762506182,1.036478366260858,0.9215329481447356,1.1514237843769806,23165.55,3133,22308.96
Business Bay,2024-12-31,24808.842743256457,21557.31110051948,28060.374385993437,1.0706730972062972,0.9303470251431506,1.2109991692694435,23165.55,3133,22308.96
Business Bay,2025-03-31,25601.177681798312,21852.70373799425,29349.65162560237,1.1048678281517366,0.9430952598484156,1.2666403964550572,23165.55,3133,22308.96
Business Bay,2025-06-30,26393.512620340167,22206.6694430721,30580.355797608237,1.139062559097176,0.9583713274055584,1.3197537907887933,23165.55,3133,22308.96
Hadaeq Sheikh Mohammed Bin Rashid,2024-09-30,24325.06218673033,23392.63431881363,25257.49005464704,1.053653705244773,1.013265069427025,1.0940423410625206,24954.43,2504,24391.0
Hadaeq Sheikh Mohammed Bin Rashid,2024-12-31,25332.11800794798,24378.40314106945,26285.832874826505,1.0972748926961713,1.0559641985849035,1.1385855868074393,24954.43,2504,24391.0
Hadaeq Sheikh Mohammed Bin Rashid,2025-03-31,26302.016193301217,25345.858144082034,27258.1742425204,1.1392865763195374,1.0978700543955364,1.1807030982435385,24954.43,2504,24391.0
Hadaeq Sheikh Mohammed Bin Rashid,2025-06-30,27265.95322728686,26309.01931623357,28222.887138340146,1.1810400493295956,1.1395899205153024,1.2224901781438888,24954.43,2504,24391.0
Jabal Ali First,2024-09-30,12762.720916428138,11569.214311295616,13956.22752156066,1.0332943720610852,0.9366657874374305,1.1299229566847402,12718.71,1910,12463.97
Jabal Ali First,2024-12-31,13157.80780172833,11707.358503461568,14608.257099995091,1.0652813643121142,0.9478502062798312,1.1827125223443973,12718.71,1910,12463.97
Jabal Ali First,2025-03-31,13552.894687028522,11884.617636538966,15221.171737518078,1.0972683565631431,0.9622014457846878,1.2323352673415986,12718.71,1910,12463.97
Jabal Ali First,2025-06-30,13947.981572328714,12087.203921039414,15808.759223618012,1.129255348814172,0.978603220061647,1.2799074775666974,12718.71,1910,12463.97
Madinat Al Mataar,2024-09-30,13022.779025270758,10562.513347519847,15483.044703021667,1.0,0.8110798261279906,1.1889201738720094,15782.87,2508,15560.8
Madinat Al Mataar,2024-12-31,13022.779025270758,9543.437936754388,16502.12011378713,1.0,0.732826527904321,1.2671734720956789,15782.87,2508,15560.8
Madinat Al Mataar,2025-03-31,13022.779025270758,8761.473871288305,17284.084179253212,1.0,0.6727806602789334,1.3272193397210668,15782.87,2508,15560.8
Madinat Al Mataar,2025-06-30,13022.779025270758,8102.247669768939,17943.31038077258,1.0,0.622159652255981,1.377840347744019,15782.87,2508,15560.8
Madinat Dubai Almelaheyah,2024-09-30,24691.759671994107,19990.32473919609,29393.194604792123,0.9916541288307382,0.802838207062871,1.1804700505986054,25947.25,987,25722.33
Madinat Dubai Almelaheyah,2024-12-31,24606.17515553384,18703.149803156743,30509.200507910937,0.9882169400584828,0.751143538201396,1.2252903419155698,25947.25,987,25722.33
Madinat Dubai Almelaheyah,2025-03-31,24520.88728498116,17628.881245035653,31412.893324926667,0.9847916649830626,0.7079994745426964,1.2615838554234289,25947.25,987,25722.33
Madinat Dubai Almelaheyah,2025-06-30,24435.895032126777,16685.65519864858,32186.13486560497,0.981378262310216,0.6701182536112724,1.2926382710091593,25947.25,987,25722.33
Marsa Dubai,2024-09-30,18839.17754361031,16910.45327122917,20767.90181599145,0.9980470974882664,0.8958686633475437,1.1002255316289888,19306.02,2633,18467.59
Marsa Dubai,2024-12-31,18057.767686526327,14763.01702890552,21352.51834414713,0.9566501820440512,0.7821034788679723,1.1311968852201304,19306.02,2633,18467.59
Marsa Dubai,2025-03-31,17004.18530342527,13041.965500644586,20966.405106205955,0.900834325062788,0.6909269676624096,1.1107416824631664,19306.02,2633,18467.59
Marsa Dubai,2025-06-30,16152.190404953904,12072.369332009315,20232.011477898493,0.8556980109362424,0.63956046614704,1.071835555725445,19306.02,2633,18467.59
Me'Aisem First,2024-09-30,10120.79443134855,8933.83568406423,11307.75317863287,0.9467373898933104,0.8357047793667812,1.0577700004198398,12144.66,1130,11771.89
Me'Aisem First,2024-12-31,9388.67490937902,7488.163523478414,11289.186295279622,0.8782521607918815,0.7004711376562985,1.0560331839274644,12144.66,1130,11771.89
Me'Aisem First,2025-03-31,9184.75354581019,7205.464325424147,11164.042766196231,0.8591765851739591,0.6740263854477343,1.0443267849001838,12144.66,1130,11771.89
Me'Aisem First,2025-06-30,9184.75354581019,7205.464325424147,11164.042766196231,0.8591765851739591,0.6740263854477343,1.0443267849001838,12144.66,1130,11771.89
Nadd Hessa,2024-09-30,8579.785711009174,6967.122529329167,10192.44889268918,1.0,0.8120392238222555,1.1879607761777446,10826.07,779,10236.9
Nadd Hessa,2024-12-31,8579.785711009174,6299.135567937561,10860.435854080786,1.0,0.7341833211352597,1.2658166788647405,10826.07,779,10236.9
Nadd Hessa,2025-03-31,8579.785711009174,5786.571144843723,11373.000277174624,1.0,0.6744423858300644,1.3255576141699354,10826.07,779,10236.9
Nadd Hessa,2025-06-30,8579.785711009174,5354.459347649161,11805.112074369186,1.0,0.6240784476445108,1.375921552355489,10826.07,779,10236.9
Wadi Al Safa 5,2024-09-30,9720.643181866131,7285.95286977182,12155.333493960448,0.9186855176825228,0.6885860594557688,1.1487849759092768,12093.35,3078,12062.15
Wadi Al Safa 5,2024-12-31,8125.35447080008,5219.45883872478,11031.25010287538,0.7679168280023151,0.4932843594363844,1.0425492965682457,12093.35,3078,12062.15
Wadi Al Safa 5,2025-03-31,8125.17087931244,5217.357326450743,11032.984432174137,0.7678994770063254,0.4930857482071407,1.0427132058055102,12093.35,3078,12062.15
Wadi Al Safa 5,2025-06-30,8124.98729197303,5215.2571690875575,11034.717414858502,0.7678821264023797,0.4928872650287835,1.042876987775976,12093.35,3078,12062.15
