Area,Model,Dataset,Date,Actual,Predicted
Al Barsha South Fifth,ARIMA,Train,2022-09-01,7924.18,7924.18
Al Barsha South Fifth,ARIMA,Train,2022-10-01,10296.44,7924.179999999999
Al Barsha South Fifth,ARIMA,Train,2022-11-01,11258.24,10296.44
Al Barsha South Fifth,ARIMA,Train,2022-12-01,11128.12,11258.24
Al Barsha South Fifth,ARIMA,Train,2023-01-01,11641.96,11128.12
Al Barsha South Fifth,ARIMA,Train,2023-02-01,11494.23,11641.96
Al Barsha South Fifth,ARIMA,Train,2023-03-01,11290.8,11494.23
Al Barsha South Fifth,ARIMA,Train,2023-04-01,8611.12,11290.8
Al Barsha South Fifth,ARIMA,Train,2023-05-01,11719.45,8611.12
Al Barsha South Fifth,ARIMA,Train,2023-06-01,11233.645,11719.45
Al Barsha South Fifth,ARIMA,Train,2023-07-01,11488.59,11233.645
Al Barsha South Fifth,ARIMA,Train,2023-08-01,18861.89,11488.59
Al Barsha South Fifth,ARIMA,Train,2023-09-01,18171.61,18861.89
Al Barsha South Fifth,ARIMA,Train,2023-10-01,17386.53,18171.61
Al Barsha South Fifth,ARIMA,Train,2023-11-01,12991.77,17386.53
Al Barsha South Fifth,ARIMA,Train,2023-12-01,12347.56,12991.77
Al Barsha South Fifth,ARIMA,Train,2024-01-01,13144.61,12347.56
Al Barsha South Fifth,ARIMA,Train,2024-02-01,13381.68,13144.61
Al Barsha South Fifth,ARIMA,Train,2024-03-01,13831.0,13381.68
Al Barsha South Fifth,ARIMA,Train,2024-04-01,12839.19,13831.0
Al Barsha South Fifth,ARIMA,Train,2024-05-01,14414.41,12839.19
Al Barsha South Fifth,ARIMA,Train,2024-06-01,14109.85,14414.41
Al Barsha South Fifth,ARIMA,Train,2024-07-01,14989.52,14109.85
Al Barsha South Fifth,ARIMA,Train,2024-08-01,14577.26,14989.52
Al Barsha South Fifth,ARIMA,Train,2024-09-01,15090.58,14577.26
Al Barsha South Fifth,ARIMA,Train,2024-10-01,15534.66,15090.58
Al Barsha South Fifth,ARIMA,Train,2024-11-01,14850.95,15534.66
Al Barsha South Fifth,ARIMA,Train,2024-12-01,15578.25,14850.95
Al Barsha South Fifth,ARIMA,Test,2025-01-01,15252.28,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-02-01,15123.29,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-03-01,15317.244999999999,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-04-01,15022.45,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-05-01,14588.810000000001,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-06-01,15181.51,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-07-01,15384.96,15578.25
Al Barsha South Fifth,ARIMA,Test,2025-08-01,15727.49,15578.25
Al Barsha South Fifth,SARIMA,Train,2022-09-01,7924.18,7924.18
Al Barsha South Fifth,SARIMA,Train,2022-10-01,10296.44,10625.84002978162
Al Barsha South Fifth,SARIMA,Train,2022-11-01,11258.24,11364.834400753423
Al Barsha South Fifth,SARIMA,Train,2022-12-01,11128.12,11687.885374524993
Al Barsha South Fifth,SARIMA,Train,2023-01-01,11641.96,11102.779287942154
Al Barsha South Fifth,SARIMA,Train,2023-02-01,11494.23,11821.077202385748
Al Barsha South Fifth,SARIMA,Train,2023-03-01,11290.8,11423.95773464686
Al Barsha South Fifth,SARIMA,Train,2023-04-01,8611.12,11149.075535075282
Al Barsha South Fifth,SARIMA,Train,2023-05-01,11719.45,7459.847089374263
Al Barsha South Fifth,SARIMA,Train,2023-06-01,11233.645,12493.547692132475
Al Barsha South Fifth,SARIMA,Train,2023-07-01,11488.59,10397.79835521423
Al Barsha South Fifth,SARIMA,Train,2023-08-01,18861.89,9902.45480188807
Al Barsha South Fifth,SARIMA,Train,2023-09-01,18171.61,23258.7461786641
Al Barsha South Fifth,SARIMA,Train,2023-10-01,17386.53,17668.672549083258
Al Barsha South Fifth,SARIMA,Train,2023-11-01,12991.77,17051.908613826814
Al Barsha South Fifth,SARIMA,Train,2023-12-01,12347.56,11041.327628893741
Al Barsha South Fifth,SARIMA,Train,2024-01-01,13144.61,12267.365602964015
Al Barsha South Fifth,SARIMA,Train,2024-02-01,13381.68,13288.782050975013
Al Barsha South Fifth,SARIMA,Train,2024-03-01,13831.0,13532.062054277048
Al Barsha South Fifth,SARIMA,Train,2024-04-01,12839.19,12840.661327006248
Al Barsha South Fifth,SARIMA,Train,2024-05-01,14414.41,14250.248881820607
Al Barsha South Fifth,SARIMA,Train,2024-06-01,14109.85,14172.769577216734
Al Barsha South Fifth,SARIMA,Train,2024-07-01,14989.52,13961.478651068288
Al Barsha South Fifth,SARIMA,Train,2024-08-01,14577.26,18612.18255248274
Al Barsha South Fifth,SARIMA,Train,2024-09-01,15090.58,17543.357209569574
Al Barsha South Fifth,SARIMA,Train,2024-10-01,15534.66,15114.494629326053
Al Barsha South Fifth,SARIMA,Train,2024-11-01,14850.95,14606.750503393747
Al Barsha South Fifth,SARIMA,Train,2024-12-01,15578.25,14479.193539007787
Al Barsha South Fifth,SARIMA,Test,2025-01-01,15252.28,16604.520255783515
Al Barsha South Fifth,SARIMA,Test,2025-02-01,15123.29,16751.179523813382
Al Barsha South Fifth,SARIMA,Test,2025-03-01,15317.244999999999,16804.27136258855
Al Barsha South Fifth,SARIMA,Test,2025-04-01,15022.45,14604.573652167304
Al Barsha South Fifth,SARIMA,Test,2025-05-01,14588.810000000001,17327.919553900017
Al Barsha South Fifth,SARIMA,Test,2025-06-01,15181.51,16896.969025786635
Al Barsha South Fifth,SARIMA,Test,2025-07-01,15384.96,17318.84394942537
Al Barsha South Fifth,SARIMA,Test,2025-08-01,15727.49,22653.80387813905
Al Barsha South Fifth,Prophet,Train,2022-09-01,7924.18,11426.72470473181
