Area,Date,Actual,ARIMA_Fitted,ARIMA_Forecast,SARIMA_Fitted,SARIMA_Forecast,Prophet_Fitted,Prophet_Forecast
Al Barsha South Fifth,2025-01-01,,,,,,,
Al Barsha South Fifth,2025-02-01,,,,,,,
Al Barsha South Fifth,2025-03-01,,,,,,,
Al Barsha South Fifth,2025-04-01,,,,,,,
Al Barsha South Fifth,2025-05-01,,,,,,,
Al Barsha South Fifth,2025-06-01,,,,,,,
Al Barsha South Fifth,2025-07-01,,,,,,,
Al Barsha South Fifth,2025-08-01,,,,,,,
Al Barsha South Fifth,2025-09-01,,,,,,,
Al Barsha South Fifth,2025-10-01,,,,,,,
Al Barsha South Fifth,2025-11-01,,,,,,,
Al Barsha South Fifth,2025-12-01,,,,,,,
Al Barsha South Fifth,2026-01-01,,,,,,,
Al Barsha South Fifth,2026-02-01,,,,,,,
Al Barsha South Fourth,2025-01-01,,,,,,,
Al Barsha South Fourth,2025-02-01,,,,,,,
Al Barsha South Fourth,2025-03-01,,,,,,,
Al Barsha South Fourth,2025-04-01,,,,,,,
Al Barsha South Fourth,2025-05-01,,,,,,,
Al Barsha South Fourth,2025-06-01,,,,,,,
Al Barsha South Fourth,2025-07-01,,,,,,,
Al Barsha South Fourth,2025-08-01,,,,,,,
Al Barsha South Fourth,2025-09-01,,,,,,,
Al Barsha South Fourth,2025-10-01,,,,,,,
Al Barsha South Fourth,2025-11-01,,,,,,,
Al Barsha South Fourth,2025-12-01,,,,,,,
Al Barsha South Fourth,2026-01-01,,,,,,,
Al Barsha South Fourth,2026-02-01,,,,,,,
Al Barshaa South Third,2025-01-01,,,,,,,
Al Barshaa South Third,2025-02-01,,,,,,,
Al Barshaa South Third,2025-03-01,,,,,,,
Al Barshaa South Third,2025-04-01,,,,,,,
Al Barshaa South Third,2025-05-01,,,,,,,
Al Barshaa South Third,2025-06-01,,,,,,,
Al Barshaa South Third,2025-07-01,,,,,,,
Al Barshaa South Third,2025-08-01,,,,,,,
Al Barshaa South Third,2025-09-01,,,,,,,
Al Barshaa South Third,2025-10-01,,,,,,,
Al Barshaa South Third,2025-11-01,,,,,,,
Al Barshaa South Third,2025-12-01,,,,,,,
Al Barshaa South Third,2026-01-01,,,,,,,
Al Barshaa South Third,2026-02-01,,,,,,,
Al Hebiah First,2025-01-01,,,,,,,
Al Hebiah First,2025-02-01,,,,,,,
Al Hebiah First,2025-03-01,,,,,,,
Al Hebiah First,2025-04-01,,,,,,,
Al Hebiah First,2025-05-01,,,,,,,
Al Hebiah First,2025-06-01,,,,,,,
Al Hebiah First,2025-07-01,,,,,,,
Al Hebiah First,2025-08-01,,,,,,,
Al Hebiah First,2025-09-01,,,,,,,
Al Hebiah First,2025-10-01,,,,,,,
Al Hebiah First,2025-11-01,,,,,,,
Al Hebiah First,2025-12-01,,,,,,,
Al Hebiah First,2026-01-01,,,,,,,
Al Hebiah First,2026-02-01,,,,,,,
Al Hebiah Fourth,2025-01-01,,,,,,,
Al Hebiah Fourth,2025-02-01,,,,,,,
Al Hebiah Fourth,2025-03-01,,,,,,,
Al Hebiah Fourth,2025-04-01,,,,,,,
Al Hebiah Fourth,2025-05-01,,,,,,,
Al Hebiah Fourth,2025-06-01,,,,,,,
Al Hebiah Fourth,2025-07-01,,,,,,,
Al Hebiah Fourth,2025-08-01,,,,,,,
Al Hebiah Fourth,2025-09-01,,,,,,,
Al Hebiah Fourth,2025-10-01,,,,,,,
Al Hebiah Fourth,2025-11-01,,,,,,,
Al Hebiah Fourth,2025-12-01,,,,,,,
Al Hebiah Fourth,2026-01-01,,,,,,,
Al Hebiah Fourth,2026-02-01,,,,,,,
Al Khairan First,2025-01-01,,,,,,,
Al Khairan First,2025-02-01,,,,,,,
Al Khairan First,2025-03-01,,,,,,,
Al Khairan First,2025-04-01,,,,,,,
Al Khairan First,2025-05-01,,,,,,,
Al Khairan First,2025-06-01,,,,,,,
Al Khairan First,2025-07-01,,,,,,,
Al Khairan First,2025-08-01,,,,,,,
Al Khairan First,2025-09-01,,,,,,,
Al Khairan First,2025-10-01,,,,,,,
Al Khairan First,2025-11-01,,,,,,,
Al Khairan First,2025-12-01,,,,,,,
Al Khairan First,2026-01-01,,,,,,,
Al Khairan First,2026-02-01,,,,,,,
Al Merkadh,2025-01-01,,,,,,,
Al Merkadh,2025-02-01,,,,,,,
Al Merkadh,2025-03-01,,,,,,,
Al Merkadh,2025-04-01,,,,,,,
Al Merkadh,2025-05-01,,,,,,,
Al Merkadh,2025-06-01,,,,,,,
Al Merkadh,2025-07-01,,,,,,,
Al Merkadh,2025-08-01,,,,,,,
Al Merkadh,2025-09-01,,,,,,,
Al Merkadh,2025-10-01,,,,,,,
Al Merkadh,2025-11-01,,,,,,,
Al Merkadh,2025-12-01,,,,,,,
Al Merkadh,2026-01-01,,,,,,,
Al Merkadh,2026-02-01,,,,,,,
Al Thanyah Fifth,2025-01-01,,,,,,,
Al Thanyah Fifth,2025-02-01,,,,,,,
Al Thanyah Fifth,2025-03-01,,,,,,,
Al Thanyah Fifth,2025-04-01,,,,,,,
Al Thanyah Fifth,2025-05-01,,,,,,,
Al Thanyah Fifth,2025-06-01,,,,,,,
Al Thanyah Fifth,2025-07-01,,,,,,,
Al Thanyah Fifth,2025-08-01,,,,,,,
Al Thanyah Fifth,2025-09-01,,,,,,,
Al Thanyah Fifth,2025-10-01,,,,,,,
Al Thanyah Fifth,2025-11-01,,,,,,,
Al Thanyah Fifth,2025-12-01,,,,,,,
Al Thanyah Fifth,2026-01-01,,,,,,,
Al Thanyah Fifth,2026-02-01,,,,,,,
Al Warsan First,2025-01-01,,,,,,,
Al Warsan First,2025-02-01,,,,,,,
Al Warsan First,2025-03-01,,,,,,,
Al Warsan First,2025-04-01,,,,,,,
Al Warsan First,2025-05-01,,,,,,,
Al Warsan First,2025-06-01,,,,,,,
Al Warsan First,2025-07-01,,,,,,,
Al Warsan First,2025-08-01,,,,,,,
Al Warsan First,2025-09-01,,,,,,,
Al Warsan First,2025-10-01,,,,,,,
Al Warsan First,2025-11-01,,,,,,,
Al Warsan First,2025-12-01,,,,,,,
Al Warsan First,2026-01-01,,,,,,,
Al Warsan First,2026-02-01,,,,,,,
Al Yelayiss 2,2025-01-01,,,,,,,
Al Yelayiss 2,2025-02-01,,,,,,,
Al Yelayiss 2,2025-03-01,,,,,,,
Al Yelayiss 2,2025-04-01,,,,,,,
Al Yelayiss 2,2025-05-01,,,,,,,
Al Yelayiss 2,2025-06-01,,,,,,,
Al Yelayiss 2,2025-07-01,,,,,,,
Al Yelayiss 2,2025-08-01,,,,,,,
Al Yelayiss 2,2025-09-01,,,,,,,
Al Yelayiss 2,2025-10-01,,,,,,,
Al Yelayiss 2,2025-11-01,,,,,,,
Al Yelayiss 2,2025-12-01,,,,,,,
Al Yelayiss 2,2026-01-01,,,,,,,
Al Yelayiss 2,2026-02-01,,,,,,,
Bukadra,2025-05-01,,,,,,,
Bukadra,2025-06-01,,,,,,,
Bukadra,2025-07-01,,,,,,,
Bukadra,2025-08-01,,,,,,,
Bukadra,2025-09-01,,,,,,,
Bukadra,2025-10-01,,,,,,,
Bukadra,2025-11-01,,,,,,,
Bukadra,2025-12-01,,,,,,,
Bukadra,2026-01-01,,,,,,,
Bukadra,2026-02-01,,,,,,,
Burj Khalifa,2025-01-01,,,,,,,
Burj Khalifa,2025-02-01,,,,,,,
Burj Khalifa,2025-03-01,,,,,,,
Burj Khalifa,2025-04-01,,,,,,,
Burj Khalifa,2025-05-01,,,,,,,
Burj Khalifa,2025-06-01,,,,,,,
Burj Khalifa,2025-07-01,,,,,,,
Burj Khalifa,2025-08-01,,,,,,,
Burj Khalifa,2025-09-01,,,,,,,
Burj Khalifa,2025-10-01,,,,,,,
Burj Khalifa,2025-11-01,,,,,,,
Burj Khalifa,2025-12-01,,,,,,,
Burj Khalifa,2026-01-01,,,,,,,
Burj Khalifa,2026-02-01,,,,,,,
