Area,Model,Dataset,RMSE,MAE,MAPE
Al Barsha South Fifth,ARIMA,Train,1946.4217272761055,1170.0335714285711,8.821873963398005
Al Barsha South Fifth,ARIMA,Test,485.58084231992154,415.80562499999974,2.7687603428167957
Al Barsha South Fifth,SARIMA,Train,2523.661222305006,1486.2527821787446,10.593918218431712
Al Barsha South Fifth,SARIMA,Test,2937.3393135195497,2274.974862158652,14.85054828495075
Al Barsha South Fifth,Prophet,Train,1199.6433486358144,808.4630213939308,6.528347556567778
Al Barsha South Fifth,Prophet,Test,2045.209210310629,1618.0701646795321,10.625808841953015
Al Barsha South Fourth,ARIMA,Train,1812.7381273193434,710.7578571428572,6.636723717179947
Al Barsha South Fourth,ARIMA,Test,915.4490965068888,856.6002083333324,5.775662189563252
Al Barsha South Fourth,SARIMA,Train,1313.3496503612873,648.4973049818291,5.211455120018195
Al Barsha South Fourth,SARIMA,Test,2137.6044083323222,2006.8137332917468,13.585118903466487
Al Barsha South Fourth,Prophet,Train,82.90815806321196,65.56810270629369,0.5628608530539244
Al Barsha South Fourth,Prophet,Test,1054.4934060215253,850.8397119387032,5.814069299535589
Al Barshaa South Third,ARIMA,Train,1189.4482225024703,870.6724999999998,6.980566536663632
Al Barshaa South Third,ARIMA,Test,328.3142061016016,291.5906249999998,2.08187280304859
Al Barshaa South Third,SARIMA,Train,2084.089781377297,1448.5554603057408,10.983346934842302
Al Barshaa South Third,SARIMA,Test,2520.1772563425548,2421.008893036957,17.239494806434422
Al Barshaa South Third,Prophet,Train,423.6122633489136,339.33863097276526,2.8073475297758583
Al Barshaa South Third,Prophet,Test,1444.0479215222247,1174.461713763936,8.395118105046993
Al Hebiah First,ARIMA,Train,2614.927046742006,1521.2499331594377,15.084557003909508
Al Hebiah First,ARIMA,Test,4215.165016452239,3270.3279964828585,18.99553204059627
Al Hebiah First,SARIMA,Train,2352.9532962376766,1652.7438658111028,17.33175730521685
Al Hebiah First,SARIMA,Test,3070.863012055612,3017.9063819488556,15.516135450385542
Al Hebiah First,Prophet,Train,1887.0285727958221,1593.704382449006,19.805788643330473
Al Hebiah First,Prophet,Test,8302.430937123316,7885.502252326553,42.256444353689226
Al Hebiah Fourth,ARIMA,Train,1827.674262103378,1119.1916314814646,10.845583312620597
Al Hebiah Fourth,ARIMA,Test,2405.2772140125066,1913.2264543963092,15.694224860128037
Al Hebiah Fourth,SARIMA,Train,2225.9925028755274,1405.8017365434382,14.36649956008879
Al Hebiah Fourth,SARIMA,Test,2948.074581544465,2497.244320177725,22.50885018485147
Al Hebiah Fourth,Prophet,Train,1166.0944045769388,1033.0265136740106,12.481752028725408
Al Hebiah Fourth,Prophet,Test,3575.8562642891375,3182.472694117044,31.10833720489617
Al Khairan First,ARIMA,Train,1127.8624068129263,885.4255269416334,3.8799408315411066
Al Khairan First,ARIMA,Test,1011.3661673414775,902.4931249999995,3.641551939123444
Al Khairan First,SARIMA,Train,3214.02750969603,1569.0904412201423,7.000489796453084
Al Khairan First,SARIMA,Test,3421.318843884891,3105.1368749999956,12.660198970241845
Al Khairan First,Prophet,Train,340.9531864586926,230.87850279821967,1.0750519038737574
Al Khairan First,Prophet,Test,5314.620735229014,5051.983850426096,20.69972705241094
Al Merkadh,ARIMA,Train,1185.1832727552746,927.799974096161,4.755844989415393
Al Merkadh,ARIMA,Test,1139.5841197836135,965.0258021132595,4.638762614565086
Al Merkadh,SARIMA,Train,2268.1184678264262,1323.5174784275764,6.8080213942399155
Al Merkadh,SARIMA,Test,1512.1956696659975,1135.2427785573805,5.44951348377853
Al Merkadh,Prophet,Train,606.6139082505574,349.6207105269623,1.8300556337263771
Al Merkadh,Prophet,Test,1535.594710947619,1248.5697676690097,6.068580997421271
Al Thanyah Fifth,ARIMA,Train,2586.1443980191193,1885.2688534521424,12.634124821180434
Al Thanyah Fifth,ARIMA,Test,4590.808580254155,3853.887074159339,18.94426157098577
Al Thanyah Fifth,SARIMA,Train,3416.7797538575905,2359.7682493204147,13.784424734099208
Al Thanyah Fifth,SARIMA,Test,4512.626305450993,3680.873986790575,18.805238025008677
Al Thanyah Fifth,Prophet,Train,1597.8782464761077,1403.9295580183407,10.10456622469677
Al Thanyah Fifth,Prophet,Test,6028.293298972142,4970.307368785677,25.781013354345617
Al Warsan First,ARIMA,Train,921.3648862387571,318.88527346521835,6.368218259243581
Al Warsan First,ARIMA,Test,257.93281962345026,228.54540971104564,3.4729207571086698
Al Warsan First,SARIMA,Train,578.7880395422301,362.4705760000672,6.763454113727693
Al Warsan First,SARIMA,Test,233.82087502770628,185.07144359048925,2.833588274689432
Al Warsan First,Prophet,Train,69.02968927786124,49.793983859757645,0.9492971487013641
Al Warsan First,Prophet,Test,413.894079013016,277.3390228027812,4.267706390804147
Al Yelayiss 2,ARIMA,Train,1147.1695444678019,665.0098214285711,5.524938086551074
Al Yelayiss 2,ARIMA,Test,1222.0828035008506,1182.7749999999992,8.36959746098957
Al Yelayiss 2,SARIMA,Train,1518.4953515929174,926.0711221233214,7.762534485003602
Al Yelayiss 2,SARIMA,Test,751.9529160907981,653.7020824452145,4.60936556036875
Al Yelayiss 2,Prophet,Train,487.32374118410655,385.46007303699974,3.4462986077738544
Al Yelayiss 2,Prophet,Test,1825.9195283513861,1018.8709397799773,7.248394660330389
Bukadra,ARIMA,Train,627.5220119712876,484.04838942717265,1.8924723502193506
Bukadra,ARIMA,Test,1185.5805845835478,952.7502439231966,3.514651445734094
Bukadra,SARIMA,Train,3648.697509448347,1205.3539321955345,4.846880622707263
Bukadra,SARIMA,Test,1095.376921354828,656.6664420740826,2.5084350852580264
Bukadra,Prophet,Train,0.17643332439865628,0.13862630025096223,0.0005400366681859866
Bukadra,Prophet,Test,19159.575720829285,16168.902499819338,61.12671647837507
Burj Khalifa,ARIMA,Train,1559.3253673716297,1285.8861352040824,5.989280978120287
Burj Khalifa,ARIMA,Test,1665.9996620007191,1364.0841517857134,6.514657383731443
Burj Khalifa,SARIMA,Train,3492.645464497297,1783.4340335669044,8.551838613041195
Burj Khalifa,SARIMA,Test,2140.5004401617402,1865.0818155865768,8.884772609576208
Burj Khalifa,Prophet,Train,675.2033654089158,539.8975305981968,2.4941655747521123
Burj Khalifa,Prophet,Test,2311.8762453903587,1990.3491366819999,9.47112271882301
Business Bay,ARIMA,Train,2174.78269817847,1676.8317857142854,7.669395716812989
Business Bay,ARIMA,Test,1370.1137659698193,1082.3125000000005,4.286369522748005
Business Bay,SARIMA,Train,3998.0172688880657,2148.620946953916,9.27483862941948
Business Bay,SARIMA,Test,1569.6479939361002,1234.0616607558363,5.103271239009634
Business Bay,Prophet,Train,873.6833211192786,718.360505905902,3.2827648941308616
Business Bay,Prophet,Test,1652.76691365277,1366.3255083387849,5.6142597244170656
Hadaeq Sheikh Mohammed Bin Rashid,ARIMA,Train,1367.5353768533878,1094.5291071428576,4.982559825472418
Hadaeq Sheikh Mohammed Bin Rashid,ARIMA,Test,1811.5039117988424,1562.8162500000026,6.061061957856562
Hadaeq Sheikh Mohammed Bin Rashid,SARIMA,Train,2691.7292700702183,1677.0436465959606,7.6462419283007215
Hadaeq Sheikh Mohammed Bin Rashid,SARIMA,Test,977.2961129228488,892.4345556158369,3.5251691442593533
Hadaeq Sheikh Mohammed Bin Rashid,Prophet,Train,197.32810270804,164.9579968048039,0.789808373045701
Hadaeq Sheikh Mohammed Bin Rashid,Prophet,Test,2652.1945370321964,2255.05087126655,9.076828667239493
Jabal Ali First,ARIMA,Train,1114.7887189796486,799.3999999999999,7.570934338738408
Jabal Ali First,ARIMA,Test,1651.5600906349498,1054.5806249999996,6.774092595555128
Jabal Ali First,SARIMA,Train,2016.916871433864,1221.709697699431,11.621001218881025
Jabal Ali First,SARIMA,Test,1335.5001357823119,1031.5916455791994,6.913869684446164
Jabal Ali First,Prophet,Train,578.9974749595399,463.66766747884685,4.309473753652729
Jabal Ali First,Prophet,Test,2324.1619989256324,1552.777245607524,10.622765120633249
Madinat Al Mataar,ARIMA,Train,2813.266717756901,2086.0490891070085,18.844945691018324
Madinat Al Mataar,ARIMA,Test,2825.631394375903,2207.9948573309425,11.429185239151215
Madinat Al Mataar,SARIMA,Train,2781.316393955337,1992.7359633466683,19.55215224725675
Madinat Al Mataar,SARIMA,Test,4012.2588535903237,2921.856563165191,16.918000129847243
Madinat Al Mataar,Prophet,Train,707.0089595156286,534.0913379339479,5.651707595177504
Madinat Al Mataar,Prophet,Test,6449.712280019795,4757.478903490522,24.72260384289087
