,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en
0,11031.1,65.27,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth
1,5005.26,36.34,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth
2,6918.96,54.17,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth
3,12347.54,55.33,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth
4,10298.37,173.04,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth
5,5498.45,103.12,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth
6,16385.33,65.56,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth
7,12873.61,35.17,Studio,1-10,0,1,1,1,1,Al Barsha South Fifth
8,17055.41,32.55,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth
9,20216.28,78.6,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth
10,13662.11,115.25,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth
11,15629.19,99.54,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth
12,20291.53,29.74,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth
13,8297.99,54.23,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth
14,22956.87,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth
15,18822.92,136.38,3 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth
16,5005.26,38.67,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth
17,10850.4,73.73,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth
18,21588.57,42.51,Studio,41-50,1,1,1,1,1,Al Barsha South Fifth
19,9024.72,36.54,Studio,11-20,1,0,1,1,1,Al Barsha South Fifth
20,6883.96,38.35,Studio,Below 1st floor,1,0,1,1,1,Al Barsha South Fifth
21,13776.18,105.98,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth
22,12994.31,57.96,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth
23,14136.19,103.52,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth
24,17416.06,75.61,1 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth
25,13432.43,92.87,2 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth
26,17302.41,36.44,Studio,1-10,1,0,1,1,1,Al Barsha South Fifth
27,6392.25,103.25,2 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth
28,10251.5,36.58,Studio,21-30,1,0,1,1,1,Al Barsha South Fifth
29,4398.83,71.61,1 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth
30,17876.54,81.0,1 B/R,41-50,1,1,1,1,1,Al Barsha South Fifth
31,17365.23,136.71,3 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth
32,9142.98,162.7,3 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth
33,9473.68,7.6,1 B/R,Below 1st floor,1,1,0,1,1,Al Barsha South Fifth
34,8474.02,40.38,Studio,1-10,1,1,0,1,1,Al Barsha South Fifth
35,15668.15,113.34,2 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth
36,13232.24,139.81,2 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth
37,7217.51,151.62,3 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth
38,10963.06,59.29,1 B/R,Below 1st floor,0,1,1,1,1,Al Barsha South Fifth
39,6902.08,162.27,2 B/R,1-10,1,1,0,1,1,Al Barsha South Fifth
40,8637.57,86.83,1 B/R,1-10,1,1,0,1,1,Al Barsha South Fifth
41,21008.06,76.97,1 B/R,51-60,1,1,1,1,1,Al Barsha South Fifth
42,18168.95,42.38,Studio,31-40,1,0,1,1,1,Al Barsha South Fifth
43,5453.16,91.69,PENTHOUSE,1-10,1,1,0,1,0,Al Barsha South Fifth
44,14404.61,62.48,1 B/R,1-10,1,0,1,1,1,Al Barsha South Fifth
45,10763.87,53.36,1 B/R,Below 1st floor,1,0,1,1,1,Al Barsha South Fifth
46,12700.32,37.04,Studio,11-20,0,1,1,1,1,Al Barsha South Fifth
47,17845.93,110.6,2 B/R,51-60,1,1,1,1,1,Al Barsha South Fifth
48,6306.05,71.36,1 B/R,1-10,1,0,0,1,1,Al Barsha South Fifth
49,4382.21,46.78,Studio,1-10,1,1,0,1,0,Al Barsha South Fifth
50,9192.93,41.88,Studio,Below 1st floor,1,1,0,1,1,Al Barsha South Fifth
51,4266.61,43.36,Studio,-9-0,1,1,0,1,0,Al Barsha South Fifth
52,7371.98,139.04,2 B/R,Other,1,1,1,1,1,Al Barsha South Fifth
53,18544.41,109.44,2 B/R,41-50,1,1,1,1,1,Al Barsha South Fifth
54,14183.05,141.38,3 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth
55,13925.8,37.05,Studio,21-30,0,1,1,1,1,Al Barsha South Fifth
56,4501.53,140.23,PENTHOUSE,1-10,1,0,0,1,0,Al Barsha South Fifth
57,12966.29,83.2,2 B/R,21-30,1,0,1,1,1,Al Barsha South Fourth
58,15553.68,59.15,1 B/R,21-30,1,1,1,0,1,Al Barsha South Fourth
59,10075.25,126.25,3 B/R,1-10,1,1,1,0,1,Al Barsha South Fourth
60,6565.54,88.34,1 B/R,Below 1st floor,1,1,1,0,1,Al Barsha South Fourth
61,3931.2,130.24,2 B/R,Below 1st floor,1,1,0,1,1,Al Barsha South Fourth
62,6928.25,72.89,1 B/R,Below 1st floor,1,0,0,1,1,Al Barsha South Fourth
63,16330.0,61.87,1 B/R,21-30,1,0,1,1,1,Al Barsha South Fourth
64,8440.24,59.24,1 B/R,11-20,1,1,1,0,1,Al Barsha South Fourth
