area_name_en,procedure_area,elevator,metro,swimming_pool,floor_bin_1-10,floor_bin_Below 1st floor,floor_bin_11-20,rooms_en_Studio,rooms_en_2 B/R,balcony,rooms_en_1 B/R,floor_bin_21-30,floor_bin_31-40,has_parking,rooms_en_3 B/R,floor_bin_41-50,floor_bin_51-60,floor_bin_71-80,floor_bin_61-70,floor_bin_Other,rooms_en_More than 3B/R,floor_bin_Top floor,floor_bin_81-90,rooms_en_PENTHOUSE,floor_bin_Duplex,floor_bin_91-100,floor_bin_-9-0
Al Barsha South Fifth,0.7,0.027,0.007,0.036,0.025,0.01,0.025,0.03,0.01,0.021,0.001,0.014,0.063,0.0,0.0,0.025,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Barsha South Fourth,0.739,0.098,0.013,0.017,0.019,0.024,0.017,0.012,0.002,0.015,0.015,0.016,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Barshaa South Third,0.785,0.086,0.012,0.006,0.018,0.016,0.026,0.014,0.006,0.005,0.012,0.004,0.001,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Hebiah Fourth,0.626,0.156,0.0,0.037,0.027,0.025,0.012,0.011,0.043,0.006,0.021,0.03,0.001,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Khairan First,0.543,0.007,0.194,0.07,0.021,0.065,0.009,0.0,0.016,0.001,0.019,0.018,0.016,0.0,0.012,0.008,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Merkadh,0.714,0.0,0.093,0.014,0.022,0.048,0.031,0.023,0.007,0.006,0.007,0.028,0.006,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Thanyah Fifth,0.413,0.325,0.057,0.017,0.056,0.003,0.012,0.016,0.002,0.017,0.006,0.005,0.004,0.0,0.008,0.009,0.037,0.0,0.009,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
Al Yelayiss 2,0.888,0.0,0.0,0.02,0.025,0.019,0.01,0.001,0.01,0.007,0.017,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burj Khalifa,0.488,0.193,0.0,0.026,0.028,0.082,0.016,0.009,0.028,0.03,0.014,0.011,0.013,0.012,0.023,0.011,0.011,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
Business Bay,0.567,0.151,0.028,0.017,0.023,0.019,0.015,0.045,0.01,0.014,0.014,0.009,0.007,0.007,0.003,0.014,0.006,0.041,0.007,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0
Hadaeq Sheikh Mohammed Bin Rashid,0.562,0.0,0.244,0.068,0.031,0.048,0.005,0.001,0.019,0.0,0.013,0.005,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabal Ali First,0.65,0.009,0.126,0.034,0.022,0.011,0.009,0.022,0.015,0.005,0.013,0.0,0.0,0.069,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madinat Al Mataar,0.498,0.104,0.144,0.12,0.005,0.002,0.007,0.042,0.005,0.064,0.007,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madinat Dubai Almelaheyah,0.62,0.001,0.164,0.044,0.12,0.008,0.004,0.001,0.001,0.0,0.016,0.005,0.009,0.0,0.001,0.004,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marsa Dubai,0.441,0.27,0.088,0.041,0.024,0.016,0.024,0.009,0.01,0.014,0.01,0.017,0.01,0.006,0.006,0.006,0.004,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.0
Me'Aisem First,0.509,0.42,0.007,0.006,0.025,0.005,0.004,0.003,0.002,0.006,0.009,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nadd Hessa,0.615,0.228,0.0,0.008,0.011,0.01,0.027,0.023,0.055,0.002,0.007,0.001,0.003,0.0,0.009,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wadi Al Safa 5,0.711,0.146,0.0,0.007,0.016,0.016,0.019,0.006,0.019,0.044,0.002,0.008,0.001,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
