area_name_en,MAE,RMSE,MAPE
Al Barsha South Fifth,1080.8904592301321,1512.1200781178343,10.080573433577557
Al Barsha South Fourth,721.2259937382869,1622.076318234415,7.733304307799105
Al Barshaa South Third,1118.4096916516921,1949.5416878753463,10.709510493745164
Al Hebiah Fourth,579.5937665153305,750.3568447396264,6.610677240693991
Al Khairan First,1337.5228971808158,2793.295634123062,7.758505506379054
Al Merkadh,1096.323912198256,2892.483143642643,6.3631538759829676
Al Thanyah Fifth,523.9327912855503,749.0204010579888,4.782912317917095
Al Yelayiss 2,666.7457321263167,888.4542872737956,6.877847705306346
Burj Khalifa,1589.8883489447862,3318.6090508517477,8.668525166087711
Business Bay,1357.0385651559438,3090.978110583657,7.7223717202565965
Hadaeq Sheikh Mohammed Bin Rashid,1076.51727960337,2431.840921444858,7.249082893111551
Jabal Ali First,858.5581206162275,1096.4021336349322,9.661323708907759
Madinat Al Mataar,768.352292769105,1082.9076177192962,9.51277329412312
Madinat Dubai Almelaheyah,1152.5948433893325,1685.9478267469497,6.104293841442298
Marsa Dubai,1289.9141644002686,2683.503879345377,8.397231878724991
Me'Aisem First,498.0100995858302,655.3525037658688,5.758878526163997
Nadd Hessa,404.74774338329615,575.9518606158973,5.3877846424659
Wadi Al Safa 5,631.8137851492489,838.4650406926945,9.256670205899793
