area_name_en,quarter,median_price,type
Al Barsha South Fifth,2022Q1,9516.71,Historical
Al Barsha South Fifth,2022Q2,10153.35,Historical
Al Barsha South Fifth,2022Q3,7915.74,Historical
Al Barsha South Fifth,2022Q4,11064.11,Historical
Al Barsha South Fifth,2023Q1,11466.9,Historical
Al Barsha South Fifth,2023Q2,11025.66,Historical
Al Barsha South Fifth,2023Q3,18180.86,Historical
Al Barsha South Fifth,2023Q4,14191.775,Historical
Al Barsha South Fifth,2024Q1,13426.42,Historical
Al Barsha South Fifth,2024Q2,14130.91,Historical
Al Barsha South Fifth,2024Q3,14843.8,Historical
Al Barsha South Fifth,2024Q4,15222.67,Historical
Al Barsha South Fifth,2025Q1,15359.825,Historical
Al Barsha South Fifth,2025Q2,14931.835,Historical
Al Barsha South Fourth,2022Q1,8793.79,Historical
Al Barsha South Fourth,2022Q2,10424.52,Historical
Al Barsha South Fourth,2022Q3,10165.939999999999,Historical
Al Barsha South Fourth,2022Q4,9892.69,Historical
Al Barsha South Fourth,2023Q1,10687.89,Historical
Al Barsha South Fourth,2023Q2,11604.52,Historical
Al Barsha South Fourth,2023Q3,12378.46,Historical
Al Barsha South Fourth,2023Q4,12965.15,Historical
Al Barsha South Fourth,2024Q1,13054.0,Historical
Al Barsha South Fourth,2024Q2,13113.465,Historical
Al Barsha South Fourth,2024Q3,13925.42,Historical
Al Barsha South Fourth,2024Q4,13514.974999999999,Historical
Al Barsha South Fourth,2025Q1,14370.095000000001,Historical
Al Barsha South Fourth,2025Q2,15177.650000000001,Historical
Al Barshaa South Third,2022Q1,12192.47,Historical
Al Barshaa South Third,2022Q2,12368.28,Historical
Al Barshaa South Third,2022Q3,12054.154999999999,Historical
Al Barshaa South Third,2022Q4,10451.79,Historical
Al Barshaa South Third,2023Q1,10851.9,Historical
Al Barshaa South Third,2023Q2,13839.01,Historical
Al Barshaa South Third,2023Q3,14455.22,Historical
Al Barshaa South Third,2023Q4,12006.47,Historical
Al Barshaa South Third,2024Q1,13293.13,Historical
Al Barshaa South Third,2024Q2,13887.86,Historical
Al Barshaa South Third,2024Q3,14020.05,Historical
Al Barshaa South Third,2024Q4,14029.98,Historical
Al Barshaa South Third,2025Q1,13847.365,Historical
Al Barshaa South Third,2025Q2,14358.965,Historical
Al Hebiah Fourth,2022Q1,6596.31,Historical
Al Hebiah Fourth,2022Q2,5917.025,Historical
Al Hebiah Fourth,2022Q3,6213.23,Historical
Al Hebiah Fourth,2022Q4,6298.38,Historical
Al Hebiah Fourth,2023Q1,6547.77,Historical
Al Hebiah Fourth,2023Q2,6781.43,Historical
Al Hebiah Fourth,2023Q3,7727.905000000001,Historical
Al Hebiah Fourth,2023Q4,8411.724999999999,Historical
Al Hebiah Fourth,2024Q1,10141.765,Historical
Al Hebiah Fourth,2024Q2,12330.46,Historical
Al Hebiah Fourth,2024Q3,11175.88,Historical
Al Hebiah Fourth,2024Q4,9505.7,Historical
Al Hebiah Fourth,2025Q1,10217.544999999998,Historical
Al Hebiah Fourth,2025Q2,11122.99,Historical
Al Khairan First,2022Q1,18488.885,Historical
Al Khairan First,2022Q2,19267.77,Historical
Al Khairan First,2022Q3,18585.79,Historical
Al Khairan First,2022Q4,19225.82,Historical
Al Khairan First,2023Q1,21258.715,Historical
Al Khairan First,2023Q2,21895.15,Historical
Al Khairan First,2023Q3,22824.66,Historical
Al Khairan First,2023Q4,21145.489999999998,Historical
Al Khairan First,2024Q1,23456.885000000002,Historical
