Area,Model,Dataset,RMSE,MAE,MAPE
Al Barsha South Fifth,XGBoost,Train,1646.6083198030192,1008.7698835595447,7.435396217268629
Al Barsha South Fifth,XGBoost,Test,345.8269521210992,294.25660929361976,1.9566420854116129
Al Barsha South Fourth,XGBoost,Train,373.44753835906664,295.7602943865459,2.2721609045527904
Al Barsha South Fourth,XGBoost,Test,555.0749926104611,439.37775695800855,2.9571971166242816
Al Barshaa South Third,XGBoost,Train,324.8286909005279,257.3191488838193,1.926275147576452
Al Barshaa South Third,XGBoost,Test,348.37736119226264,343.51857884724967,2.432591563651905
Al Hebiah First,XGBoost,Train,3445.814361715694,2091.858206685384,17.109498872905114
Al Hebiah First,XGBoost,Test,485.45570146216653,307.8944523111986,1.5609361108537045
Al Hebiah Fourth,XGBoost,Train,2057.4505385523016,1293.1240326563518,11.837232135945197
Al Hebiah Fourth,XGBoost,Test,2652.3450757143073,2328.486783040364,19.67271653284839
Al Khairan First,XGBoost,Train,769.8295159780843,645.0858931350705,2.7754482314931614
Al Khairan First,XGBoost,Test,876.7411799772856,645.9162728881844,2.6133647797794377
Al Merkadh,XGBoost,Train,1189.6903008003824,991.9098537953691,5.112452288758521
Al Merkadh,XGBoost,Test,751.6233697247848,619.358333333333,2.959689230713906
Al Thanyah Fifth,XGBoost,Train,2411.274524736926,1824.238294461568,10.64555334976484
Al Thanyah Fifth,XGBoost,Test,3546.135218612932,2683.5425547281898,12.740392833541089
Al Warsan First,XGBoost,Train,190.40719426038953,137.88593350092583,2.4585225303694074
Al Warsan First,XGBoost,Test,148.35065455216198,127.1087667846679,1.911383037637541
Al Yelayiss 2,XGBoost,Train,690.7912682119394,566.3787506167096,4.854004990429129
Al Yelayiss 2,XGBoost,Test,542.3377793235685,478.60249999999996,3.397391627708995
Burj Khalifa,XGBoost,Train,759.6730793434896,597.1901389567056,2.7434855199530896
Burj Khalifa,XGBoost,Test,1948.0132222215807,1539.3971702067054,7.527698526699591
Business Bay,XGBoost,Train,1884.2088316864558,1426.9661847941077,6.384303533306899
Business Bay,XGBoost,Test,1459.943233352314,1171.5794402821855,4.574421126099457
Hadaeq Sheikh Mohammed Bin Rashid,XGBoost,Train,763.73358528421,611.7556185897193,2.732303679258369
Hadaeq Sheikh Mohammed Bin Rashid,XGBoost,Test,697.4197657224004,504.87273030599016,1.9675467574582388
Jabal Ali First,XGBoost,Train,754.972097955811,556.4433312479654,4.865865027777886
Jabal Ali First,XGBoost,Test,1246.6402242865022,763.9466666666661,4.768980518266941
Madinat Al Mataar,XGBoost,Train,3429.54896077387,2534.708840840658,21.540005269010884
Madinat Al Mataar,XGBoost,Test,2926.369970846886,2371.385204671224,13.104743252348758
Madinat Dubai Almelaheyah,XGBoost,Train,1402.4922790457024,1132.7222673288986,4.805462017421539
Madinat Dubai Almelaheyah,XGBoost,Test,1223.5146217970619,1062.769664306641,3.6259806055083192
Marsa Dubai,XGBoost,Train,1157.127891753621,951.2424189249673,5.639865938565571
Marsa Dubai,XGBoost,Test,1897.496140158985,1166.4453159586585,6.377370572363805
Me'Aisem First,XGBoost,Train,832.0807311759929,650.7635177294411,6.085628261894887
Me'Aisem First,XGBoost,Test,590.867345137037,344.6021279144291,2.4052980245058713
Nadd Hessa,XGBoost,Train,1421.8005059451286,987.911860408783,10.970491068968986
Nadd Hessa,XGBoost,Test,2607.315256086501,2273.452498982747,15.278577391325149
Palm Jumeirah,XGBoost,Train,1509.0306995399806,1131.5014096260068,5.806244249529295
Palm Jumeirah,XGBoost,Test,781.2292871591535,700.6160446166996,3.1086172654395323
Wadi Al Safa 5,XGBoost,Train,1566.7522654474033,1164.684037882487,15.053132232540031
Wadi Al Safa 5,XGBoost,Test,693.5395735630054,527.5814843750004,3.929680839125039
Al Barsha South Fifth,HWES+SARIMAX,Train,1070.9270471912398,667.9347249423006,5.007238453727441
Al Barsha South Fifth,HWES+SARIMAX,Test,3045.043471274587,1917.7437868847546,12.514592277236883
Al Barsha South Fourth,HWES+SARIMAX,Train,271.51115868996345,172.47690811329818,1.444974904789908
Al Barsha South Fourth,HWES+SARIMAX,Test,491.3292274153163,418.85221841494575,2.8075152625879465
