Area,Model,Dataset,Date,Actual,Predicted
Al Barsha South Fifth,XGBoost,Train,2023-03-01,11290.81,11287.248556518554
Al Barsha South Fifth,XGBoost,Train,2023-04-01,8611.12,10986.796358642578
Al Barsha South Fifth,XGBoost,Train,2023-05-01,11719.45,9148.629704589845
Al Barsha South Fifth,XGBoost,Train,2023-06-01,11233.645,11885.871035766602
Al Barsha South Fifth,XGBoost,Train,2023-07-01,11488.59,11967.495646972657
Al Barsha South Fifth,XGBoost,Train,2023-08-01,18854.265,13200.479282226563
Al Barsha South Fifth,XGBoost,Train,2023-09-01,18171.61,19168.81266845703
Al Barsha South Fifth,XGBoost,Train,2023-10-01,17386.53,17660.029677734376
Al Barsha South Fifth,XGBoost,Train,2023-11-01,12991.77,16739.692780761718
Al Barsha South Fifth,XGBoost,Train,2023-12-01,12347.56,12792.046092529297
Al Barsha South Fifth,XGBoost,Train,2024-01-01,13144.61,12508.593447265624
Al Barsha South Fifth,XGBoost,Train,2024-02-01,13381.68,13297.067672119141
Al Barsha South Fifth,XGBoost,Train,2024-03-01,13828.24,13534.137672119141
Al Barsha South Fifth,XGBoost,Train,2024-04-01,12839.19,13980.69767211914
Al Barsha South Fifth,XGBoost,Train,2024-05-01,14374.38,13274.2534765625
Al Barsha South Fifth,XGBoost,Train,2024-06-01,14109.85,14526.83767211914
Al Barsha South Fifth,XGBoost,Train,2024-07-01,14824.87,14262.307672119141
Al Barsha South Fifth,XGBoost,Train,2024-08-01,14333.14,14977.327672119141
Al Barsha South Fifth,XGBoost,Train,2024-09-01,15029.435,14485.59767211914
Al Barsha South Fifth,XGBoost,Train,2024-10-01,15333.97,15181.89267211914
Al Barsha South Fifth,XGBoost,Train,2024-11-01,14841.92,15302.468476028442
Al Barsha South Fifth,XGBoost,Train,2024-12-01,15578.25,14994.37767211914
Al Barsha South Fifth,XGBoost,Train,2025-01-01,15252.28,15546.748476028442
Al Barsha South Fifth,XGBoost,Train,2025-02-01,15123.295,15220.778476028443
Al Barsha South Fifth,XGBoost,Test,2025-03-01,15317.245,15275.75267211914
Al Barsha South Fifth,XGBoost,Test,2025-04-01,14908.32,15285.743476028443
Al Barsha South Fifth,XGBoost,Test,2025-05-01,14561.475,15060.77767211914
Al Barsha South Fifth,XGBoost,Test,2025-06-01,15175.17,14713.932672119141
Al Barsha South Fifth,XGBoost,Test,2025-07-01,15384.96,15327.62767211914
Al Barsha South Fifth,XGBoost,Test,2025-08-01,15682.21,15353.458476028442
Al Barsha South Fifth,XGBoost,Forecast,2025-09-01,,15650.708476028442
Al Barsha South Fifth,XGBoost,Forecast,2025-10-01,,15619.206952056884
Al Barsha South Fifth,XGBoost,Forecast,2025-11-01,,15587.705428085326
Al Barsha South Fifth,XGBoost,Forecast,2025-12-01,,15556.203904113769
Al Barsha South Fifth,XGBoost,Forecast,2026-01-01,,15524.702380142211
Al Barsha South Fifth,XGBoost,Forecast,2026-02-01,,15493.200856170653
Al Barsha South Fourth,XGBoost,Train,2023-03-01,11045.91,11064.322645263672
Al Barsha South Fourth,XGBoost,Train,2023-04-01,11467.29,11200.07470336914
Al Barsha South Fourth,XGBoost,Train,2023-05-01,11163.795,11591.157645263673
Al Barsha South Fourth,XGBoost,Train,2023-06-01,11490.66,11317.95970336914
Al Barsha South Fourth,XGBoost,Train,2023-07-01,11764.235,11687.322292480469
Al Barsha South Fourth,XGBoost,Train,2023-08-01,12166.43,11960.89729248047
Al Barsha South Fourth,XGBoost,Train,2023-09-01,12993.31,12264.096633605957
Al Barsha South Fourth,XGBoost,Train,2023-10-01,12704.84,13046.605745849609
Al Barsha South Fourth,XGBoost,Train,2023-11-01,13026.28,12884.347553100586
Al Barsha South Fourth,XGBoost,Train,2023-12-01,13057.31,13161.416657714844
Al Barsha South Fourth,XGBoost,Train,2024-01-01,13131.48,13167.103807983398
Al Barsha South Fourth,XGBoost,Train,2024-02-01,13125.14,13241.273807983398
Al Barsha South Fourth,XGBoost,Train,2024-03-01,13007.19,13234.933807983398
Al Barsha South Fourth,XGBoost,Train,2024-04-01,13313.87,13187.741635742188
Al Barsha South Fourth,XGBoost,Train,2024-05-01,13263.28,13369.41065322876
Al Barsha South Fourth,XGBoost,Train,2024-06-01,12692.08,13318.82065322876
Al Barsha South Fourth,XGBoost,Train,2024-07-01,13540.35,13000.5067578125
Al Barsha South Fourth,XGBoost,Train,2024-08-01,14495.99,13880.638726806641
Al Barsha South Fourth,XGBoost,Train,2024-09-01,13524.48,14376.38289855957
Al Barsha South Fourth,XGBoost,Train,2024-10-01,13198.13,13537.35865447998
Al Barsha South Fourth,XGBoost,Train,2024-11-01,13428.34,13297.364558105468
Al Barsha South Fourth,XGBoost,Train,2024-12-01,13223.77,13473.32140335083
Al Barsha South Fourth,XGBoost,Train,2025-01-01,13932.375,13452.79264404297
Al Barsha South Fourth,XGBoost,Train,2025-02-01,14334.16,14166.003814697266
Al Barsha South Fourth,XGBoost,Test,2025-03-01,14786.85,14595.044643554687
Al Barsha South Fourth,XGBoost,Test,2025-04-01,14629.31,14944.856240844727
Al Barsha South Fourth,XGBoost,Test,2025-05-01,14911.15,14787.316240844726
Al Barsha South Fourth,XGBoost,Test,2025-06-01,15263.78,15069.156240844726
Al Barsha South Fourth,XGBoost,Test,2025-07-01,14416.06,15421.786240844727
Al Barsha South Fourth,XGBoost,Test,2025-08-01,15454.42,14649.688814697265
Al Barsha South Fourth,XGBoost,Forecast,2025-09-01,,15428.053071899414
Al Barsha South Fourth,XGBoost,Forecast,2025-10-01,,15401.686143798828
Al Barsha South Fourth,XGBoost,Forecast,2025-11-01,,15457.160131378174
Al Barsha South Fourth,XGBoost,Forecast,2025-12-01,,15512.63411895752
Al Barsha South Fourth,XGBoost,Forecast,2026-01-01,,15670.640359802246
Al Barsha South Fourth,XGBoost,Forecast,2026-02-01,,15828.646600646973
Al Barshaa South Third,XGBoost,Train,2023-03-01,11067.11,11251.047595367432
Al Barshaa South Third,XGBoost,Train,2023-04-01,11486.759999999998,11359.139663085938
Al Barshaa South Third,XGBoost,Train,2023-05-01,14626.09,13857.337636718748
Al Barshaa South Third,XGBoost,Train,2023-06-01,14018.14,13990.520847167969
Al Barshaa South Third,XGBoost,Train,2023-07-01,12803.59,13110.944748535156
Al Barshaa South Third,XGBoost,Train,2023-08-01,14864.73,14451.85171875
Al Barshaa South Third,XGBoost,Train,2023-09-01,14747.6,14102.889362792968
Al Barshaa South Third,XGBoost,Train,2023-10-01,12098.745,12653.703759765625
Al Barshaa South Third,XGBoost,Train,2023-11-01,12618.845,12236.39085876465
Al Barshaa South Third,XGBoost,Train,2023-12-01,11665.025,12191.419890136718
Al Barshaa South Third,XGBoost,Train,2024-01-01,12754.16,12437.118627929687
Al Barshaa South Third,XGBoost,Train,2024-02-01,13696.33,13539.758022460937
Al Barshaa South Third,XGBoost,Train,2024-03-01,13465.19,13525.078443603516
Al Barshaa South Third,XGBoost,Train,2024-04-01,13796.74,13930.605100097657
Al Barshaa South Third,XGBoost,Train,2024-05-01,13632.715,13702.053941955566
Al Barshaa South Third,XGBoost,Train,2024-06-01,14038.24,14012.238986816406
Al Barshaa South Third,XGBoost,Train,2024-07-01,14251.085,14047.144403686523
Al Barshaa South Third,XGBoost,Train,2024-08-01,14134.3,13983.200844726562
Al Barshaa South Third,XGBoost,Train,2024-09-01,13579.145,13919.356915283202
Al Barshaa South Third,XGBoost,Train,2024-10-01,14184.37,13939.289317626954
Al Barshaa South Third,XGBoost,Train,2024-11-01,13460.915,13406.826970214845
Al Barshaa South Third,XGBoost,Train,2024-12-01,14190.33,13973.28871826172
Al Barshaa South Third,XGBoost,Train,2025-01-01,13950.53,14058.546751098633
Al Barshaa South Third,XGBoost,Train,2025-02-01,13661.275,13818.068406372071
Al Barshaa South Third,XGBoost,Test,2025-03-01,13664.25,14104.169897460937
Al Barshaa South Third,XGBoost,Test,2025-04-01,14560.02,14167.246063232422
Al Barshaa South Third,XGBoost,Test,2025-05-01,13957.135,14223.415599365235
Al Barshaa South Third,XGBoost,Test,2025-06-01,14209.25,13882.554219970703
Al Barshaa South Third,XGBoost,Test,2025-07-01,14436.655,14098.059196472168
Al Barshaa South Third,XGBoost,Test,2025-08-01,13962.48,14259.325455932618
Al Barshaa South Third,XGBoost,Forecast,2025-09-01,,13862.854534606933
Al Barshaa South Third,XGBoost,Forecast,2025-10-01,,13307.631390075683
Al Barshaa South Third,XGBoost,Forecast,2025-11-01,,13947.912640075683
Al Barshaa South Third,XGBoost,Forecast,2025-12-01,,13459.618053894043
Al Barshaa South Third,XGBoost,Forecast,2026-01-01,,14245.21607635498
Al Barshaa South Third,XGBoost,Forecast,2026-02-01,,14173.533977966308
Al Hebiah First,XGBoost,Train,2023-03-01,6864.53,6253.757653808594
Al Hebiah First,XGBoost,Train,2023-04-01,6657.7,7409.9376538085935
Al Hebiah First,XGBoost,Train,2023-05-01,7795.75,7203.107653808594
Al Hebiah First,XGBoost,Train,2023-06-01,8335.75,8238.118103027344
Al Hebiah First,XGBoost,Train,2023-07-01,7320.64,8778.118103027344
Al Hebiah First,XGBoost,Train,2023-08-01,7657.585,7866.047653808594
Al Hebiah First,XGBoost,Train,2023-09-01,9748.39,8099.953103027344
Al Hebiah First,XGBoost,Train,2023-10-01,7644.469999999999,10190.758103027343
Al Hebiah First,XGBoost,Train,2023-11-01,7582.835,8086.838103027343
Al Hebiah First,XGBoost,Train,2023-12-01,6646.36,8025.203103027344
Al Hebiah First,XGBoost,Train,2024-01-01,6754.27,7191.767653808593
Al Hebiah First,XGBoost,Train,2024-02-01,7116.71,7299.677653808594
Al Hebiah First,XGBoost,Train,2024-03-01,7894.56,7662.117653808594
Al Hebiah First,XGBoost,Train,2024-04-01,7673.96,8336.928103027345
Al Hebiah First,XGBoost,Train,2024-05-01,7675.695,8116.328103027344
Al Hebiah First,XGBoost,Train,2024-06-01,7370.21,8118.0631030273435
Al Hebiah First,XGBoost,Train,2024-07-01,7417.16,7915.617653808594
Al Hebiah First,XGBoost,Train,2024-08-01,9083.97,7962.567653808594
