,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en,instance_date
258531,18050.89,75.61,1 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-05-31
60880,16789.09,40.04,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-08-12
242717,11029.7,92.26,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-03-25
218199,19394.74,29.65,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-09
257913,12649.99,69.17,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
262203,10303.18,40.57,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-05
83564,20281.0,49.11,Studio,41-50,1,1,1,1,1,Al Barsha South Fifth,2024-10-03
169354,9624.27,129.88,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-25
159748,13472.54,87.11,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-19
76083,15936.88,75.84,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-26
208585,15562.99,61.79,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-26
262057,21344.54,29.75,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-11
271924,11828.23,54.05,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-11
104368,6534.27,78.05,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-08-17
145011,16114.51,60.56,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-09-17
105809,9761.63,44.05,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-07-11
34104,16340.07,73.6,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-17
305829,16353.02,74.41,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-20
97991,10592.77,139.11,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-08-23
281493,14172.82,64.47,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-28
174239,13743.36,57.43,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
174210,11097.47,65.17,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-11-01
23777,22346.37,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
296067,13191.81,65.95,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-08
169496,13238.46,43.69,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-05
247570,12240.18,53.78,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-22
154904,15515.11,65.01,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-18
40937,15868.85,61.16,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-05-15
90760,7314.94,103.25,2 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth,2023-10-16
211240,17160.59,78.96,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-26
177342,18856.89,41.64,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-29
305951,8201.2,36.58,Studio,21-30,1,0,1,1,1,Al Barsha South Fifth,2023-06-02
60900,12025.43,72.2,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-05-03
88576,17714.06,100.09,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-08-11
291146,13232.24,139.81,2 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2024-05-24
5952,11092.99,61.49,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-11-20
140139,19569.02,35.44,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
220946,20412.83,40.21,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-15
26091,9689.92,41.28,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-01-12
130745,17197.81,60.16,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-11
55869,21201.86,29.42,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
71415,14066.54,53.8,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-24
83402,15712.94,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-29
220939,17664.1,100.09,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-10-19
276609,17179.19,77.06,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2025-03-19
120503,11200.53,93.44,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-08
301031,12315.27,36.54,Studio,11-20,1,0,1,1,1,Al Barsha South Fifth,2025-03-17
174203,11006.26,48.86,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-10-14
35936,8287.1,63.32,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-09-14
76651,9142.98,105.98,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-06-11
227996,12884.38,64.96,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-03-21
247567,10763.91,149.92,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-09-02
163419,16519.15,71.65,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-02-24
255486,13116.47,114.36,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
216043,21538.84,40.16,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-09-05
276620,21152.08,28.78,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-05-23
276618,21214.24,28.79,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-06
150017,11438.89,83.05,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-10-03
250223,20805.37,49.17,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-14
237772,11372.52,140.69,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-12-12
174222,16157.09,34.86,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-02-20
60926,12642.55,36.36,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-19
130405,14321.36,81.39,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-06-07
55889,10239.75,65.16,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-11-15
140143,20289.94,35.47,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-03-24
223031,13802.02,36.06,Studio,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-03-20
61047,11043.21,43.39,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
213421,15297.53,78.14,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-10-28
218263,12409.66,35.18,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-03-24
223024,17314.06,57.9,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
52901,15461.26,64.45,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-06-13
105679,11302.11,78.96,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-05-25
52837,17902.55,34.55,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-02-29
83563,18532.19,136.38,3 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2025-03-20
2857,17495.65,35.38,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-05-24
90730,13535.78,112.62,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-07-24
227954,8997.73,127.81,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-02-13
65967,9072.39,103.06,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-06-05
176925,17129.35,99.42,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-01-14
105676,8553.97,73.65,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-02-06
211248,19623.79,78.68,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-09-07
75939,10169.49,103.25,2 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth,2025-02-20
18789,21727.42,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-02
257186,15152.61,52.42,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-02
113166,13000.0,76.8,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-21
120299,13476.29,87.11,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-14
