,area_name_en,meter_sale_price,instance_date
0,Burj Khalifa,26698.01,2024-02-14
1,Burj Khalifa,26213.08,2023-12-19
2,Burj Khalifa,28423.97,2023-10-31
3,Burj Khalifa,27621.73,2024-02-29
4,Burj Khalifa,32730.7,2023-11-01
5,Marsa Dubai,10205.09,2024-04-04
6,Marsa Dubai,14222.39,2023-06-07
7,Al Thanyah Fifth,8965.88,2023-09-12
8,Al Thanyah Fifth,18124.59,2025-06-30
9,Al Thanyah Fifth,14362.81,2025-07-21
10,Al Thanyah Fifth,17529.88,2025-03-06
11,Al Thanyah Fifth,15585.51,2025-04-08
12,Marsa Dubai,11064.79,2023-05-15
13,Marsa Dubai,10649.63,2022-09-20
14,Marsa Dubai,13939.52,2024-05-16
15,Marsa Dubai,12720.33,2022-09-20
16,Marsa Dubai,17928.37,2024-06-12
17,Marsa Dubai,10730.77,2024-07-30
18,Marsa Dubai,16936.96,2024-07-24
19,Al Thanyah Fifth,9663.05,2024-12-23
20,Al Thanyah Fifth,9179.86,2024-02-26
21,Al Thanyah Fifth,10118.9,2024-09-13
22,Al Thanyah Fifth,23190.06,2025-08-05
23,Al Thanyah Fifth,25257.75,2025-08-18
24,Al Thanyah Fifth,24219.08,2025-08-21
25,Al Thanyah Fifth,15522.5,2024-12-09
26,Marsa Dubai,15127.12,2024-03-19
27,Marsa Dubai,17192.99,2025-06-03
28,Marsa Dubai,16491.89,2024-06-13
29,Marsa Dubai,14228.24,2024-11-14
30,Palm Jumeirah,9785.65,2024-09-26
31,Marsa Dubai,13520.23,2023-03-31
32,Marsa Dubai,10572.83,2025-04-17
33,Marsa Dubai,9295.67,2024-05-03
34,Marsa Dubai,15570.88,2025-04-25
35,Palm Jumeirah,24765.32,2024-12-30
36,Marsa Dubai,18152.43,2023-03-28
37,Marsa Dubai,10714.13,2023-10-23
38,Marsa Dubai,4784.62,2024-12-05
39,Marsa Dubai,20443.98,2024-11-26
40,Marsa Dubai,19954.52,2023-03-14
41,Marsa Dubai,22148.02,2023-03-16
42,Marsa Dubai,15193.73,2025-02-06
43,Marsa Dubai,7809.25,2023-12-14
44,Marsa Dubai,20764.26,2024-06-11
45,Marsa Dubai,21083.13,2025-02-12
46,Marsa Dubai,23253.18,2024-06-27
47,Marsa Dubai,12794.27,2024-05-27
48,Marsa Dubai,18005.63,2025-04-23
49,Marsa Dubai,12109.99,2023-08-07
50,Marsa Dubai,9726.73,2022-11-28
51,Marsa Dubai,12334.55,2025-03-27
52,Marsa Dubai,17399.37,2023-05-08
53,Marsa Dubai,11525.57,2024-10-08
54,Al Warsan First,5995.71,2024-10-23
55,Al Warsan First,5849.26,2024-08-08
56,Al Warsan First,5405.41,2024-12-04
57,Al Warsan First,7284.32,2025-07-08
58,Marsa Dubai,8698.94,2022-10-03
59,Marsa Dubai,10593.22,2023-06-05
60,Marsa Dubai,8651.13,2024-12-11
61,Marsa Dubai,14015.38,2025-04-16
62,Marsa Dubai,8298.02,2022-12-05
63,Marsa Dubai,9546.54,2023-08-25
