area,phase,month,actual_smoothed,predicted
Al Barsha South Fifth,train,2022-09-01,8600.23947789543,10291.107993236139
Al Barsha South Fifth,train,2022-10-01,9643.280402073566,10291.107993236139
Al Barsha South Fifth,train,2022-11-01,10658.647165806819,10090.953330205253
Al Barsha South Fifth,train,2022-12-01,11241.799069244991,11094.721711467755
Al Barsha South Fifth,train,2023-01-01,11396.330822430062,11493.090828667391
Al Barsha South Fifth,train,2023-02-01,11429.645948187403,11465.231732823222
Al Barsha South Fifth,train,2023-03-01,11467.155347666869,11450.01374735655
Al Barsha South Fifth,train,2023-04-01,11462.52871643298,11497.408894954338
Al Barsha South Fifth,train,2023-05-01,11457.481656131149,11493.555887704326
Al Barsha South Fifth,train,2023-06-01,11233.644999999988,11532.271149989172
Al Barsha South Fifth,train,2023-07-01,13900.712051752686,11317.18229872894
Al Barsha South Fifth,train,2023-08-01,15562.515176557587,15454.82563847193
Al Barsha South Fifth,train,2023-09-01,18171.610000000008,17229.018289584703
Al Barsha South Fifth,train,2023-10-01,17201.12291292442,19077.4462962359
Al Barsha South Fifth,train,2023-11-01,15769.774102672367,16964.323572082936
Al Barsha South Fifth,train,2023-12-01,14616.91162179493,15202.239909109594
Al Barsha South Fifth,train,2024-01-01,13097.84913395577,14091.735620715734
Al Barsha South Fifth,train,2024-02-01,13387.51797696161,12434.928282870027
Al Barsha South Fifth,train,2024-03-01,13560.304677652592,13517.243251087753
Al Barsha South Fifth,train,2024-04-01,13810.120535009612,13623.48166020193
Al Barsha South Fifth,train,2024-05-01,14029.475854242588,13906.075006042896
Al Barsha South Fifth,train,2024-06-01,14366.274309201975,14029.582032698556
Al Barsha South Fifth,train,2024-07-01,14602.801311151738,15328.912591488674
Al Barsha South Fifth,train,2024-08-01,14857.157171929102,14738.394612881055
Al Barsha South Fifth,train,2024-09-01,15038.24562855115,15263.655781187
Al Barsha South Fifth,train,2024-10-01,15157.59515992408,14464.790152992933
Al Barsha South Fifth,train,2024-11-01,15280.500595664085,14789.016616146915
Al Barsha South Fifth,train,2024-12-01,15262.355114280672,15127.535639447353
Al Barsha South Fifth,train,2025-01-01,15269.931765768832,14905.306552025355
Al Barsha South Fifth,train,2025-02-01,15239.23903782943,15607.934741860669
Al Barsha South Fifth,test,2025-03-01,15114.925304771106,15241.20520836541
Al Barsha South Fifth,test,2025-04-01,15021.901229998088,15307.638513956843
Al Barsha South Fifth,test,2025-05-01,15019.379438763453,15379.50896454687
