area,phase,month,actual_smoothed,predicted
Al Barsha South Fifth,train,2022-09-01,8312.878017420786,10295.65841390937
Al Barsha South Fifth,train,2022-10-01,9679.972206388029,10295.65841390937
Al Barsha South Fifth,train,2022-11-01,10956.234158587127,9381.332343223015
Al Barsha South Fifth,train,2022-12-01,11310.97985474041,11823.900163523029
Al Barsha South Fifth,train,2023-01-01,11451.599557834454,11017.751857056795
Al Barsha South Fifth,train,2023-02-01,11478.35697129301,11702.600536579854
Al Barsha South Fifth,train,2023-03-01,11290.799999999996,11348.104516341116
Al Barsha South Fifth,train,2023-04-01,11505.125,11257.469873848035
Al Barsha South Fifth,train,2023-05-01,11719.44999999999,11649.234392965527
Al Barsha South Fifth,train,2023-06-01,11447.92632150343,11760.314413430751
Al Barsha South Fifth,train,2023-07-01,11488.58999999999,11266.111762091492
Al Barsha South Fifth,train,2023-08-01,14830.1,12355.962282900982
Al Barsha South Fifth,train,2023-09-01,18171.609999999986,17630.457119112256
Al Barsha South Fifth,train,2023-10-01,16292.63406829494,18931.301701427805
Al Barsha South Fifth,train,2023-11-01,14349.129141003206,15215.70054147673
Al Barsha South Fifth,train,2023-12-01,12621.016258191728,13967.65918387955
Al Barsha South Fifth,train,2024-01-01,12985.579045834063,11886.341712486737
Al Barsha South Fifth,train,2024-02-01,13441.026811804413,13633.962588243636
Al Barsha South Fifth,train,2024-03-01,13444.223689743238,13265.400587834258
Al Barsha South Fifth,train,2024-04-01,13665.38325225843,13620.696496602919
Al Barsha South Fifth,train,2024-05-01,13897.966299002435,13763.792214735427
Al Barsha South Fifth,train,2024-06-01,14439.63509016865,13884.336236971507
Al Barsha South Fifth,train,2024-07-01,14614.704238017455,14776.571461245854
Al Barsha South Fifth,train,2024-08-01,14842.110009243148,15432.324141438552
Al Barsha South Fifth,train,2024-09-01,15071.211661588703,15167.064460867417
Al Barsha South Fifth,train,2024-10-01,15210.261204255403,14123.259779716074
Al Barsha South Fifth,train,2024-11-01,15262.554955222477,14935.774850875408
Al Barsha South Fifth,train,2024-12-01,15276.396266759115,14747.919683675043
Al Barsha South Fifth,train,2025-01-01,15254.807557076292,15704.795593550954
Al Barsha South Fifth,train,2025-02-01,15171.601200564579,15163.152787730218
Al Barsha South Fifth,test,2025-03-01,15317.244999999999,15201.89714951017
Al Barsha South Fifth,test,2025-04-01,15022.45,15258.622168384478
Al Barsha South Fifth,test,2025-05-01,14588.810000000001,15319.703209863423
Al Barsha South Fifth,test,2025-06-01,15181.51,15561.22916192686
Al Barsha South Fifth,test,2025-07-01,15384.96,15622.74880438766
Al Barsha South Fifth,test,2025-08-01,15727.49,15360.347997381887
Al Barsha South Fifth,forecast,2025-09-01,,15201.89714951017
Al Barsha South Fifth,forecast,2025-10-01,,15258.622168384478
Al Barsha South Fifth,forecast,2025-11-01,,15319.703209863423
Al Barsha South Fifth,forecast,2025-12-01,,15561.22916192686
Al Barsha South Fifth,forecast,2026-01-01,,15622.74880438766
Al Barsha South Fifth,forecast,2026-02-01,,15360.347997381887
Al Barsha South Fourth,train,2022-09-01,9164.091190271405,9433.702186678142
Al Barsha South Fourth,train,2022-10-01,9394.243143791282,9433.702186678142
Al Barsha South Fourth,train,2022-11-01,9644.093291354107,9597.394908945284
Al Barsha South Fourth,train,2022-12-01,10053.870993507695,9885.944801159165
Al Barsha South Fourth,train,2023-01-01,10474.635396338188,10490.434076963464
Al Barsha South Fourth,train,2023-02-01,10841.978544863321,10839.733912206355
Al Barsha South Fourth,train,2023-03-01,11101.494374187783,11132.582865008779
Al Barsha South Fourth,train,2023-04-01,11219.54906334124,11281.968970589816
Al Barsha South Fourth,train,2023-05-01,11372.92422204419,11275.41492708217
Al Barsha South Fourth,train,2023-06-01,11544.042963216012,11547.847932884219
Al Barsha South Fourth,train,2023-07-01,11820.476600892056,11720.876418761482
Al Barsha South Fourth,train,2023-08-01,12132.836549113168,12118.448816174772
Al Barsha South Fourth,train,2023-09-01,12437.260392603508,12420.362440073004
Al Barsha South Fourth,train,2023-10-01,12715.104247003721,12700.014414966905
Al Barsha South Fourth,train,2023-11-01,12926.183304847735,12942.588031702986
Al Barsha South Fourth,train,2023-12-01,13041.535897855592,13029.825483369306
Al Barsha South Fourth,train,2024-01-01,13096.129132009875,13126.333257755521
Al Barsha South Fourth,train,2024-02-01,13129.89318756449,13147.563058577492
Al Barsha South Fourth,train,2024-03-01,13188.71402903887,13199.592255984206
Al Barsha South Fourth,train,2024-04-01,13257.123823100974,13313.518732400127
Al Barsha South Fourth,train,2024-05-01,13356.119192932196,13321.805510973873
Al Barsha South Fourth,train,2024-06-01,13443.751433689427,13493.245220490671
Al Barsha South Fourth,train,2024-07-01,13493.080357389945,13512.243865016939
Al Barsha South Fourth,train,2024-08-01,13505.857379047575,13551.80777784635
Al Barsha South Fourth,train,2024-09-01,13436.927442765293,13537.338479971462
Al Barsha South Fourth,train,2024-10-01,13388.001355794158,13382.169535492665
Al Barsha South Fourth,train,2024-11-01,13463.855614990793,13416.3909589334
Al Barsha South Fourth,train,2024-12-01,13682.387830771906,13650.568606893488
Al Barsha South Fourth,train,2025-01-01,13989.12638662789,13975.45287130627
Al Barsha South Fourth,train,2025-02-01,14303.355307292659,14316.687427983325
Al Barsha South Fourth,test,2025-03-01,14817.45,14586.122231426301
Al Barsha South Fourth,test,2025-04-01,14622.775,14837.042421028733
Al Barsha South Fourth,test,2025-05-01,14934.06,15052.214225921507
Al Barsha South Fourth,test,2025-06-01,15243.715,15255.481867534696
Al Barsha South Fourth,test,2025-07-01,14374.744999999999,15465.368248164308
Al Barsha South Fourth,test,2025-08-01,15459.58,15687.718319801852
Al Barsha South Fourth,forecast,2025-09-01,,14586.122231426301
Al Barsha South Fourth,forecast,2025-10-01,,14837.042421028733
Al Barsha South Fourth,forecast,2025-11-01,,15052.214225921507
Al Barsha South Fourth,forecast,2025-12-01,,15255.481867534696
Al Barsha South Fourth,forecast,2026-01-01,,15465.368248164308
Al Barsha South Fourth,forecast,2026-02-01,,15687.718319801852
Al Barshaa South Third,train,2022-09-01,12586.538816215101,13274.846568658973
Al Barshaa South Third,train,2022-10-01,11822.696676968892,13274.846568658973
Al Barshaa South Third,train,2022-11-01,11163.240178056458,11067.860648040807
Al Barshaa South Third,train,2022-12-01,10844.01101395714,10814.408177852867
Al Barshaa South Third,train,2023-01-01,10739.621320916864,10881.208309129515
Al Barshaa South Third,train,2023-02-01,10972.007948002429,10929.887235163993
Al Barshaa South Third,train,2023-03-01,11256.49054682354,11412.642937118908
Al Barshaa South Third,train,2023-04-01,11959.740394113918,11625.5608519087
Al Barshaa South Third,train,2023-05-01,12768.52957760478,12618.85836178275
Al Barshaa South Third,train,2023-06-01,13537.863407488847,13320.55343126327
Al Barshaa South Third,train,2023-07-01,14250.559568187797,13915.370901519342
Al Barshaa South Third,train,2023-08-01,14353.532363641494,14482.57484436819
Al Barshaa South Third,train,2023-09-01,14029.74521273676,14017.971774971214
Al Barshaa South Third,train,2023-10-01,13327.378305747749,13488.827608848083
Al Barshaa South Third,train,2023-11-01,12581.45080073771,12660.206698508624
Al Barshaa South Third,train,2023-12-01,12448.422921484103,12104.196622456117
