Area,Phase,Month,Actual_Smoothed,Predicted
Al Barsha South Fifth,train,2022-09-01,10342.529185439029,11437.32555754025
Al Barsha South Fifth,train,2022-10-01,10622.60748817011,11437.32555754025
Al Barsha South Fifth,train,2022-11-01,10878.512078872358,10494.824562356644
Al Barsha South Fifth,train,2022-12-01,11117.882854233421,10906.485811491168
Al Barsha South Fifth,train,2023-01-01,11338.102240245918,11292.895103329018
Al Barsha South Fifth,train,2023-02-01,11430.35460559974,11506.1624060037
Al Barsha South Fifth,train,2023-03-01,11475.229981950917,11498.43492059324
Al Barsha South Fifth,train,2023-04-01,11454.896905617692,11534.112634860483
Al Barsha South Fifth,train,2023-05-01,11436.372211420783,11499.270365864097
Al Barsha South Fifth,train,2023-06-01,11416.959946238621,11506.982381798967
Al Barsha South Fifth,train,2023-07-01,12753.789718044463,11502.138740671524
Al Barsha South Fifth,train,2023-08-01,14262.064456816735,13981.938380182643
Al Barsha South Fifth,train,2023-09-01,15682.136854324935,15357.996082849626
Al Barsha South Fifth,train,2023-10-01,16501.601882520485,16342.462661146532
Al Barsha South Fifth,train,2023-11-01,16043.958356181796,16632.424393659476
Al Barsha South Fifth,train,2023-12-01,14929.92266989988,15242.124191825298
Al Barsha South Fifth,train,2024-01-01,13873.011247760207,13980.058626488048
Al Barsha South Fifth,train,2024-02-01,13381.285121015848,13412.547700427578
Al Barsha South Fifth,train,2024-03-01,13591.452359776998,13543.46789524398
Al Barsha South Fifth,train,2024-04-01,13835.268194147582,14216.132073477529
Al Barsha South Fifth,train,2024-05-01,14083.21976437346,14209.026577398694
Al Barsha South Fifth,train,2024-06-01,14325.922221827755,14284.750903120555
Al Barsha South Fifth,train,2024-07-01,14601.899556586803,14514.08991694807
Al Barsha South Fifth,train,2024-08-01,14837.241914862814,14818.192822138888
Al Barsha South Fifth,train,2024-09-01,15003.06929012462,15013.750431804929
Al Barsha South Fifth,train,2024-10-01,15133.838574478947,15121.274596303989
Al Barsha South Fifth,train,2024-11-01,15231.088915923227,15246.462150826565
Al Barsha South Fifth,train,2024-12-01,15257.443601681283,15339.339155221147
Al Barsha South Fifth,train,2025-01-01,15246.305299134281,15321.211378495484
Al Barsha South Fifth,train,2025-02-01,15209.895695239335,15301.009042082054
Al Barsha South Fifth,test,2025-03-01,15114.809010422234,15268.007660971798
Al Barsha South Fifth,test,2025-04-01,15073.232881325679,15419.974638162672
Al Barsha South Fifth,test,2025-05-01,15164.473834876346,15637.832846796202
Al Barsha South Fifth,test,2025-06-01,15262.96240756739,15869.330266956724
Al Barsha South Fifth,test,2025-07-01,15371.556926945701,16076.292456725703
Al Barsha South Fifth,test,2025-08-01,15497.9406126529,16243.937582658147
Al Barsha South Fifth,forecast,2025-09-01,,16380.170184135046
Al Barsha South Fifth,forecast,2025-10-01,,16503.854716018646
Al Barsha South Fifth,forecast,2025-11-01,,16632.834369303313
Al Barsha South Fifth,forecast,2025-12-01,,16776.396171959223
Al Barsha South Fifth,forecast,2026-01-01,,16934.186972105763
Al Barsha South Fifth,forecast,2026-02-01,,17099.720428789227
Al Barsha South Fourth,train,2022-09-01,8959.694880539377,9673.062281747341
Al Barsha South Fourth,train,2022-10-01,9320.598497718232,9673.062281747341
Al Barsha South Fourth,train,2022-11-01,9681.379646190668,9673.062281747341
Al Barsha South Fourth,train,2022-12-01,10035.943291328911,10046.246413836783
Al Barsha South Fourth,train,2023-01-01,10418.233087453245,10383.845125176269
Al Barsha South Fourth,train,2023-02-01,10783.63085699566,10825.240577330726
Al Barsha South Fourth,train,2023-03-01,11058.679567687057,11117.482720184098
Al Barsha South Fourth,train,2023-04-01,11230.862811616716,11287.776556995648
Al Barsha South Fourth,train,2023-05-01,11400.479141258775,11357.745562947055
Al Barsha South Fourth,train,2023-06-01,11598.331753708415,11604.506405850156
Al Barsha South Fourth,train,2023-07-01,11845.924968733489,11791.17477833018
Al Barsha South Fourth,train,2023-08-01,12141.37217922514,12138.15772428605
Al Barsha South Fourth,train,2023-09-01,12433.033902306594,12439.448845590488
Al Barsha South Fourth,train,2023-10-01,12692.472231195301,12719.436615177246
Al Barsha South Fourth,train,2023-11-01,12900.933375562387,12929.772389809787
Al Barsha South Fourth,train,2023-12-01,13017.41804353932,13085.693723002843
Al Barsha South Fourth,train,2024-01-01,13083.909355838223,13077.753994687568
Al Barsha South Fourth,train,2024-02-01,13143.454523091714,13155.465025112202
Al Barsha South Fourth,train,2024-03-01,13197.059695879749,13193.11495026472
Al Barsha South Fourth,train,2024-04-01,13263.314221888824,13253.912101247635
Al Barsha South Fourth,train,2024-05-01,13353.36066457051,13337.309468650856
Al Barsha South Fourth,train,2024-06-01,13427.08918310775,13456.623241749772
Al Barsha South Fourth,train,2024-07-01,13448.055572580304,13476.498556614268
Al Barsha South Fourth,train,2024-08-01,13458.592441818622,13445.60020938041
Al Barsha South Fourth,train,2024-09-01,13439.676035572207,13479.828255723329
Al Barsha South Fourth,train,2024-10-01,13425.73178432274,13387.694099240687
Al Barsha South Fourth,train,2024-11-01,13532.5609513996,13443.11216298844
Al Barsha South Fourth,train,2024-12-01,13735.949458994073,13713.053281669936
Al Barsha South Fourth,train,2025-01-01,13993.277089823128,13958.193621258295
Al Barsha South Fourth,train,2025-02-01,14265.853055890957,14279.49708041079
Al Barsha South Fourth,test,2025-03-01,14527.22367651151,14527.192698339264
Al Barsha South Fourth,test,2025-04-01,14767.116879379613,14788.532340787571
Al Barsha South Fourth,test,2025-05-01,14956.531284050248,15049.871983235878
Al Barsha South Fourth,test,2025-06-01,15136.471656703136,15311.211625684185
Al Barsha South Fourth,test,2025-07-01,15318.616977602818,15572.551268132493
Al Barsha South Fourth,test,2025-08-01,15500.328977603687,15833.8909105808
Al Barsha South Fourth,forecast,2025-09-01,,16095.230553029107
Al Barsha South Fourth,forecast,2025-10-01,,16356.570195477414
Al Barsha South Fourth,forecast,2025-11-01,,16617.909837925723
Al Barsha South Fourth,forecast,2025-12-01,,16879.24948037403
Al Barsha South Fourth,forecast,2026-01-01,,17140.589122822337
Al Barsha South Fourth,forecast,2026-02-01,,17401.928765270644
Al Barshaa South Third,train,2022-09-01,12334.796769882907,12723.925555954815
Al Barshaa South Third,train,2022-10-01,12017.729850006424,12723.925555954815
Al Barshaa South Third,train,2022-11-01,11725.553547607124,11755.606628737563
Al Barshaa South Third,train,2022-12-01,11438.109610318792,11602.701660420083
Al Barshaa South Third,train,2023-01-01,11030.894679604855,11170.894173397011
Al Barshaa South Third,train,2023-02-01,10995.20152817517,11001.713987909307
Al Barshaa South Third,train,2023-03-01,11365.684575638032,11286.521934042363
Al Barshaa South Third,train,2023-04-01,11968.051716768958,11750.095412235045
