Area,Train_MAE,Train_MAPE,Train_RMSE,Train_R2,Test_MAE,Test_MAPE,Test_RMSE,Test_R2,p,d,q,P,D,Q,m
Al Barsha South Fifth,554.0510123571684,0.04163232343173972,821.6114092193926,0.861765842988112,275.6202922522237,0.01808975635927524,305.28650724970083,-0.5078759139153106,1,1,0,0,0,1,12
Al Barsha South Fourth,65.64064353670692,0.006257343468158383,134.21962599622051,0.9914800171557553,93.68782577639558,0.006148625112017768,113.556420224943,0.8736296480207896,3,2,0,0,0,0,12
Al Barshaa South Third,186.28760754855713,0.014773828328056009,292.5594032192564,0.9321665103673661,298.32349630853395,0.021082775536386766,369.98696955079294,-18.85903021848148,2,1,1,0,0,0,12
Al Hebiah First,437.02675402439866,0.04363451505171466,904.508242849732,0.9564939733774235,627.7127388886584,0.030088333652605936,711.0855146152519,-3.5287414220816613,1,1,0,0,0,0,12
Al Merkadh,68.02306935272706,0.0035035001378115466,90.12443057840682,0.9722656731386365,116.90161367521796,0.0056912505439959335,154.23560506118457,-6.577247106947868,3,0,0,0,0,0,12
Al Thanyah Fifth,665.1357298098089,0.04762565156538302,874.3312384990305,0.9165237023838773,1314.8189644624829,0.07121060163078907,1693.1448451792864,-16.712839156868643,0,1,1,0,0,2,12
Al Warsan First,26.309003282826747,0.004947455292291196,33.0960065439079,0.9954424850607418,23.237044554623026,0.0035300248526045045,26.34310589737921,0.8112799036353224,2,1,1,0,0,0,12
Al Yelayiss 2,250.71523681581724,0.022679541951710857,405.11905433012447,0.9013370362298119,177.98994424616708,0.012710354379355282,198.390603608811,-31.600919140423407,1,1,0,0,0,0,12
Burj Khalifa,113.80307101933236,0.005332371535201279,139.77146614081042,0.9622776405605868,148.21426402928773,0.00681891521943627,161.87334906991214,0.9468073336763341,3,0,0,0,0,0,12
Business Bay,296.8026038539146,0.013848266657819268,458.681880043953,0.8531226746492504,1131.700668265111,0.04368366565912219,1511.9533394801192,-1.2740493643442585,0,1,0,0,0,0,12
Hadaeq Sheikh Mohammed Bin Rashid,100.45094314950002,0.004752636628471992,130.6066088177373,0.9957309975042283,302.96938324283656,0.011769151774686301,336.9266585454203,0.4589288761054522,1,1,1,0,0,0,12
Jabal Ali First,100.70202608193219,0.008987180114819566,145.0689793610118,0.9788002242828958,74.10066990584619,0.005181995012250627,92.85098110757961,0.9256560603564075,0,2,0,0,0,0,12
Madinat Al Mataar,353.74984707911733,0.03672489857226466,526.1733111295957,0.978978173618265,998.2684193466263,0.06026004745304161,1347.1518900295748,-2.1043173439144227,3,1,1,0,0,0,12
Madinat Dubai Almelaheyah,125.20427989255198,0.0060623931685589655,187.59721734020488,0.9964332813168739,391.87944639287343,0.012905274376950411,498.10995150243434,0.7097076633092361,0,1,2,0,0,0,12
Me'Aisem First,122.95469080592996,0.013255286001302241,160.26622281195918,0.990046390534579,315.07145981016157,0.022211986411636468,331.4399291383462,0.109378154765719,2,1,0,0,0,0,12
Nadd Hessa,170.52065274671025,0.021913657760148218,227.68186792663602,0.9772692009095475,617.3463652750306,0.046279296207070365,801.2997185583519,-1.9625639559660608,2,1,0,0,0,0,12
Palm Jumeirah,91.67201035596129,0.0046753472922372325,130.89707187594698,0.9896640201262228,64.85167874961917,0.0028781579157404744,72.09321644988128,0.8349410522180432,0,2,1,0,0,0,12
Wadi Al Safa 5,127.05604951615739,0.014605575723307151,187.71913324303188,0.9911069897499701,204.77657794751303,0.014497586443513547,255.5751283182037,0.785050040810445,2,1,0,0,0,0,12
