Area,Train_MAE,Train_MAPE,Train_RMSE,Train_R2,Test_MAE,Test_MAPE,Test_RMSE,Test_R2,p,d,q,P,D,Q,m
Al Barsha South Fifth,652.512625055423,0.05106509324603923,952.3658514493643,0.7986174221640037,344.5105329450601,0.02286054804679519,395.5609332474357,-0.28333953724742744,0,1,1,0,0,1,12
Al Barsha South Fourth,46.241743755168315,0.004131512478441398,71.80740306886493,0.9975127565830065,315.71297517079955,0.021596059673683315,475.2241763807831,-0.7119001144678636,2,1,0,1,0,0,12
Al Barshaa South Third,178.61942656122162,0.014250189898931847,326.58920353578725,0.9154956948983716,504.7717195855433,0.03574381023271401,557.7681903422585,-2.139726492578038,3,1,1,0,0,0,12
Al Merkadh,287.6364501059548,0.014999985185011219,387.77098858638146,0.7718973563893629,1408.021638433748,0.06753554286966924,1510.5877610924258,-7.872653408939646,3,0,0,0,0,0,12
Al Thanyah Fifth,679.5984245599391,0.046992207316871565,913.6701112159792,0.9032198734602161,2341.809485834669,0.11455948732063977,3265.573019186744,-0.5297244064354212,1,1,0,2,0,0,12
Al Warsan First,36.92640664263578,0.006847094316979349,54.22860576625486,0.9881324006891107,462.4865983931583,0.07067580451541983,479.8933503089196,-19.560973698940558,1,1,0,0,0,0,12
Al Yelayiss 2,357.77270079933606,0.03160270673719735,509.13834015087144,0.866814277473098,1104.9051369905276,0.07937384674450086,1207.4365387362727,-11.624826254831031,0,1,0,0,0,0,12
Business Bay,298.18324086891465,0.01392957954999479,458.56594295838664,0.8467011682771111,1741.8311476101328,0.06713578575881049,2160.8672102207147,-1.8552212868568678,0,1,0,0,0,0,12
Hadaeq Sheikh Mohammed Bin Rashid,172.31224378063672,0.00814717455125125,218.5366208512384,0.9878532536095387,1139.0929415914507,0.043727324756967674,1329.413418602488,-1.8125053121019743,0,1,1,1,0,0,12
Jabal Ali First,189.14274808545372,0.017796045949176935,331.585538286429,0.9308010318511526,869.0780800558445,0.053677138403322465,1478.1505536912741,-0.19465075421282418,3,1,0,0,0,0,12
Madinat Al Mataar,428.92772964790413,0.04287764230850081,614.6270744919885,0.968071541528318,1911.612019426867,0.10384736508219346,2357.7800064994494,-0.5372134290304715,0,1,3,0,0,0,12
Me'Aisem First,268.00558748691395,0.02938635017686878,364.7115793744657,0.9506622131071278,1527.8329077876006,0.10685158210608103,1581.8438839620615,-157.59623089646308,4,1,0,0,0,0,12
Nadd Hessa,295.9143484536657,0.0366456839714649,419.26740965000056,0.9278924941614836,1609.4935725819532,0.10321672878904033,2153.9267851706886,-0.35034622299670515,0,1,1,0,0,0,12
Palm Jumeirah,208.92308101442796,0.010789528512475045,283.21432715928955,0.9549410807921344,537.0811845998451,0.0236059835567899,657.0631021192021,-0.4298697409638581,0,1,1,0,0,1,12
Wadi Al Safa 5,192.19977372104913,0.021665974207215898,254.45986973341627,0.985726025640293,1825.895116513916,0.13411806001882778,1858.543076374111,-3.7513346280762923,5,1,0,1,0,0,12
