Area,Train_MAE,Train_MAPE,Train_RMSE,Train_R2,Test_MAE,Test_MAPE,Test_RMSE,Test_R2,p,d,q,P,D,Q,m
Al Barsha South Fifth,230.80694342661252,0.018483289181845032,387.5860768295795,0.9555294473513212,505.06662974683303,0.033010747627488256,545.9874927935726,-12.42612041582228,3,1,0,0,0,0,12
Al Barsha South Fourth,62.377623798775375,0.006086286238499155,149.3808193109098,0.9895536151908607,146.1705552089452,0.009555658917076562,189.49553770874581,0.6649379947829273,0,2,1,0,0,0,12
Al Barshaa South Third,105.53238155342127,0.008451259488566874,173.023191521617,0.9674370054949919,401.854363523387,0.028416692423198053,424.4628928138457,-27.31452522006086,4,1,0,1,0,0,12
Al Hebiah First,437.02675402439866,0.04363451505171466,904.508242849732,0.9564939733774235,627.7127388886584,0.030088333652605936,711.0855146152519,-3.5287414220816613,1,1,0,0,0,0,12
Al Merkadh,68.02306935272706,0.0035035001378115466,90.12443057840682,0.9722656731386365,116.90161367521796,0.0056912505439959335,154.23560506118457,-6.577247106947868,3,0,0,0,0,0,12
Al Thanyah Fifth,402.0944730462903,0.03017456255452076,596.3737359886787,0.9561489537531167,1380.3240025853356,0.07381632404596576,1553.7740013273478,-90.39018653374443,2,1,0,0,0,0,12
Al Warsan First,11.986120496029587,0.0022272711572057717,14.976101186739262,0.9990815425408278,124.18106602844121,0.018831400179735423,142.4099252681071,-6.991298570294748,0,2,1,0,0,0,12
Al Yelayiss 2,83.13144127544759,0.00792126384674744,118.31046990017671,0.9933574976008167,620.4023661353198,0.04427829172567458,722.8962893511484,-685.6818028800203,1,1,1,0,0,0,12
Burj Khalifa,113.80307101933236,0.005332371535201279,139.77146614081042,0.9622776405605868,148.21426402928773,0.00681891521943627,161.87334906991214,0.9468073336763341,3,0,0,0,0,0,12
Business Bay,142.20884426885567,0.006516849386644332,215.74437162369384,0.9637330364194916,1106.0653577645946,0.043066789528164416,1420.1094062418422,-1.8595978377429967,2,1,1,0,0,0,12
Hadaeq Sheikh Mohammed Bin Rashid,100.45094314950002,0.004752636628471992,130.6066088177373,0.9957309975042283,302.96938324283656,0.011769151774686301,336.9266585454203,0.4589288761054522,1,1,1,0,0,0,12
Jabal Ali First,100.70202608193219,0.008987180114819566,145.0689793610118,0.9788002242828958,74.10066990584619,0.005181995012250627,92.85098110757961,0.9256560603564075,0,2,0,0,0,0,12
Madinat Dubai Almelaheyah,125.20427989255198,0.0060623931685589655,187.59721734020488,0.9964332813168739,391.87944639287343,0.012905274376950411,498.10995150243434,0.7097076633092361,0,1,2,0,0,0,12
Marsa Dubai,157.4940068376091,0.009718427948000371,203.70626057318262,0.983771994215356,1005.4288340445522,0.05311848596672549,1132.8205438867515,-15.93278972317568,1,1,1,0,0,0,12
Me'Aisem First,122.95469080592996,0.013255286001302241,160.26622281195918,0.990046390534579,315.07145981016157,0.022211986411636468,331.4399291383462,0.109378154765719,2,1,0,0,0,0,12
Nadd Hessa,115.5229514037298,0.015145448233791685,173.62764779546777,0.9869185963098683,1570.6611620202955,0.11617550411940673,2040.7016141479157,-119.62768437061074,0,2,0,0,0,0,12
Palm Jumeirah,91.67201035596129,0.0046753472922372325,130.89707187594698,0.9896640201262228,64.85167874961917,0.0028781579157404744,72.09321644988128,0.8349410522180432,0,2,1,0,0,0,12
Wadi Al Safa 5,127.05604951615739,0.014605575723307151,187.71913324303188,0.9911069897499701,204.77657794751303,0.014497586443513547,255.5751283182037,0.785050040810445,2,1,0,0,0,0,12
