,area_name_en,count,cum_count,cum_percent
0,Al Barsha South Fourth,49542,49542,12.03
1,Business Bay,32516,82058,19.92
2,Marsa Dubai,26570,108628,26.37
3,Al Merkadh,24956,133584,32.43
4,Hadaeq Sheikh Mohammed Bin Rashid,18505,152089,36.92
5,Burj Khalifa,17975,170064,41.29
6,Al Khairan First,15697,185761,45.1
7,Al Thanyah Fifth,15392,201153,48.84
8,Wadi Al Safa 5,15175,216328,52.52
9,Al Barshaa South Third,14792,231120,56.11
10,Jabal Ali First,12507,243627,59.15
11,Madinat Al Mataar,11244,254871,61.88
12,Me'Aisem First,9524,264395,64.19
13,Al Hebiah Fourth,8954,273349,66.36
14,Madinat Dubai Almelaheyah,8637,281986,68.46
15,Al Warsan First,7825,289811,70.36
16,Al Yelayiss 2,7503,297314,72.18
17,Nadd Hessa,7334,304648,73.96
18,Al Barsha South Fifth,6798,311446,75.61
19,Al Hebiah First,6461,317907,77.18
20,Bukadra,6261,324168,78.7
21,Palm Jumeirah,6235,330403,80.22
22,Al Wasl,6028,336431,81.68
23,Al Jadaf,5402,341833,82.99
24,Wadi Al Safa 3,5373,347206,84.29
25,Al Barshaa South Second,5087,352293,85.53
26,Al Hebiah Third,5044,357337,86.75
27,Al Thanyah Third,4697,362034,87.89
28,Al Hebiah Fifth,4633,366667,89.02
29,Palm Deira,3214,369881,89.8
30,Al Kifaf,3068,372949,90.54
31,Ras Al Khor Industrial First,3030,375979,91.28
32,Um Suqaim Third,2756,378735,91.95
33,Warsan Fourth,2623,381358,92.59
34,Al Hebiah Second,2546,383904,93.2
35,Jabal Ali,2497,386401,93.81
36,Wadi Al Safa 2,2477,388878,94.41
37,Wadi Al Safa 4,2229,391107,94.95
38,Madinat Hind 4,2198,393305,95.49
39,Zaabeel Second,1985,395290,95.97
40,Zaabeel First,1786,397076,96.4
41,Nad Al Shiba First,1756,398832,96.83
42,Jabal Ali Industrial Second,1531,400363,97.2
43,Jumeirah First,1272,401635,97.51
44,Wadi Al Safa 7,1209,402844,97.8
45,Mirdif,1023,403867,98.05
46,Al Satwa,881,404748,98.27
47,Dubai Investment Park First,830,405578,98.47
48,Dubai Investment Park Second,777,406355,98.66
49,Nad Al Shiba,754,407109,98.84
50,Al Goze Fourth,731,407840,99.02
51,Al Safouh Second,648,408488,99.17
52,Muhaisanah First,646,409134,99.33
53,Saih Shuaib 2,587,409721,99.47
54,Al Thanyah First,554,410275,99.61
55,Al Safouh First,338,410613,99.69
56,Al Kheeran,295,410908,99.76
57,Trade Center Second,218,411126,99.81
58,Al Barsha First,178,411304,99.86
59,Al Hebiah Sixth,147,411451,99.89
60,Al Qusais Industrial Fifth,144,411595,99.93
61,Hessyan First,104,411699,99.95
62,Nad Al Hamar,75,411774,99.97
63,Rega Al Buteen,39,411813,99.98
64,Um Hurair Second,31,411844,99.99
65,Island 2,23,411867,99.99
66,Al Qusais Industrial Fourth,23,411890,100.0
67,Jumeirah Second,3,411893,100.0
68,Trade Center First,1,411894,100.0
