,transaction_id,trans_group_en,procedure_name_en,instance_date,property_type_en,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,building_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,instance_year,instance_month,instance_day,sector_name,area_lat,area_lon
626535,1-102-2015-9590,Sales,Sell - Pre registration,2015-10-22,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,MONTE CARLO RESIDENCE,MONTE CARLO RESIDENCES,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,70.0,715350.0,10219.29,2015.0,10.0,22.0,Central,25.05936493,55.21207713
783461,1-41-2011-575,Sales,Delayed Sell,2011-02-07,Unit,Flat,Residential,Existing Properties,Al Hebiah First,SHAKESPEARE SIRCUS 3,,Motor City,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,137.5,710211.0,5165.17,2011.0,2.0,7.0,Central,25.04998492,55.23894687
881992,1-851-2022-121,Sales,Development Registration Pre-Registration,2022-11-01,Villa,Villa,Residential,Off-Plan Properties,Dubai Investment Park First,,Verdana (Phase 1),Dubai Investment Park First,,,,4 B/R,0,78.08,1326500.0,16988.99,2022.0,11.0,1.0,South_west,24.99222384,55.16651934
1158309,1-11-2023-25437,Sales,Sell,2023-08-11,Land,,Residential,Existing Properties,Al Thanayah Fourth,,,Emirates Hills,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,1824.89,32000000.0,17535.3,2023.0,8.0,11.0,Unknown,25.06366745,55.1623514
903752,1-11-2021-7923,Sales,Sell,2021-05-17,Unit,Flat,Residential,Existing Properties,Wadi Al Safa 2,Mazaya 3,QPOINT LIWAN-PLOT R004,Liwan,IMG World Adventures,,,1 B/R,1,86.72,320000.0,3690.04,2021.0,5.0,17.0,Central,25.10606176,55.36153117
957635,2-13-2018-7880,Mortgages,Mortgage Registration,2018-10-09,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 2,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,77.97,375000.0,4809.54,2018.0,10.0,9.0,Central,25.03502194,55.21354639
121654,1-102-2019-626,Sales,Sell - Pre registration,2019-01-21,Unit,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,Socio Tower 2,Socio,DUBAI HILLS,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,67.54,981850.0,14537.31,2019.0,1.0,21.0,Central,25.1053253,55.26733804
663519,1-11-2022-26481,Sales,Sell,2022-10-27,Land,,Residential,Existing Properties,Al Mamzer,,,,Dubai International Airport,Al Qiyadah Metro Station,,,0,1462.15,6925000.0,4736.18,2022.0,10.0,27.0,Unknown,25.31710909,55.34787801
1220176,1-102-2016-11064,Sales,Sell - Pre registration,2016-08-03,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fourth,EAGLE HEIGHTS,EAGLE HEIGHTS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,81.04,640000.0,7897.33,2016.0,8.0,3.0,Central,25.03502194,55.21354639
225589,1-11-2021-12669,Sales,Sell,2021-07-16,Unit,Shop,Commercial,Existing Properties,Al Warsan First,X-12,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,48.0,305000.0,6354.17,2021.0,7.0,16.0,Unknown,25.1599767,55.4246648
